case,prototype,baseline,:prototype,:software,:autosizing,:hvac_type,:is_central_dhw,:window_u,:heating_eff
mrmf_dhw_ind,mixed-use-mid-rise,t24-2019,mixed-use-mid-rise,cbecc-com,Yes,SZAC,0,,
mrmf_dhw_central,mixed-use-mid-rise,t24-2019,mixed-use-mid-rise,cbecc-com,Yes,SZAC,1,,
