case,prototype,baseline,:prototype,:software,:proposed_only,:roof_rise,:hvac_type,:seer,:eer,:hspf,:multispeed_compressor
lrgs-low-base,low-rise-garden-style-gas,t24-2019-lowattic,low-rise-garden-style-gas,cbecc-res,No,2,SZHP,,,,
lrlc-low-base,Low-rise-loaded-corridor-attic,t24-2019-lowattic,Low-rise-loaded-corridor-attic,cbecc-res,No,2,SZHP,,,,
lrlc-flat-base,Low-rise-loaded-corridor-cathedral,t24-2019-roofins,Low-rise-loaded-corridor-cathedral,cbecc-res,No,0,SZHP,,,,
lrgs-flat-base,low-rise-garden-style-gas-cathedral,t24-2019-roofins,low-rise-garden-style-gas-cathedral,cbecc-res,No,,SZHP,,,,
lrgs-low-tier1,low-rise-garden-style-gas,t24-2019-lowattic,low-rise-garden-style-gas,cbecc-res,No,2,SZHP,16.5,13,9,1
lrgs-low-tier2,low-rise-garden-style-gas,t24-2022-tier2,low-rise-garden-style-gas,cbecc-res,No,2,SZHP,16.5,13,9,1
lrlc-flat-tier1,Low-rise-loaded-corridor-cathedral,t24-2019-roofins,Low-rise-loaded-corridor-cathedral,cbecc-res,No,0,SZHP,16.5,13,9,1
lrlc-flat-tier2,Low-rise-loaded-corridor-cathedral,t24-2022-tier2,Low-rise-loaded-corridor-cathedral,cbecc-res,No,0,SZHP,16.5,13,9,1
<<<<<<< Updated upstream
lrgs-low-tier2env,low-rise-garden-style-gas,t24-2022-tier2,low-rise-garden-style-gas,cbecc-res,No,2,SZHP,,,,
lrlc-flat-tier2env,Low-rise-loaded-corridor-cathedral,t24-2022-tier2,Low-rise-loaded-corridor-cathedral,cbecc-res,No,0,SZHP,,,,
=======
lrlc-flat19-base,Low-rise-loaded-corridor-cathedral,t24-2019-baseline,Low-rise-loaded-corridor-cathedral,cbecc-res,No,0,SZHP,,,,
>>>>>>> Stashed changes
