18,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Software:,,"CBECC-Com 2019.1.0 (1079)"
,CompMgr:,,"BEMCmpMgr 2019.1.0 (5962)"
,OpenStudio:,,"1.11.3.f52686d8e1"
,EnergyPlus:,,"9.0.1-bb7ca4f0da"
,CSE:,,"CSE19 0.860.0 EXE"
,Ruleset:,,"CA 2019 Nonresidential, Vers. 1.0 Alpha (T24N_2019.bin)"
Run Title:,,,"Mid-Rise Mixed-Use (5-story)"
Run Date/Time:,,,"2019-12-17 18:46:20"
Cond. Area:,,,113100
Model:,,,"Proposed"
Model File:,,,"C:\Users\agoyal\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hvac\runs\mumr-case2\cz12\instance.cibd19"

,,,Site Electric Use,,,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,TDV Multipliers,
,,,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,PV,Battery,Comp Tot,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Comp Tot,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Comp Tot,TOTAL,Electric,NatGas,OtherFuel
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kTDV/kWh),(kTDV/MBtu),(kTDV/MBtu)
1,1,16,2.96501,0,5.66626,0,0.0560267,2.6736,11.4192,24.9759,0,13.311,3.94427,0,0,22.7801,65.0113,195.904,0,0,0,0,109.819,0,0,0,0,0,697.531,697.531,0,0,0,0,0,0,0,0,0,0,0,0,0,24.75,2084.1,4194.5,
1,1,17,2.89482,0,5.52294,0,0.0557667,2.71996,11.6004,24.9759,0,13.311,3.94427,0,0,22.7939,65.025,175.432,0,0,0,0,213.33,0,27.1049,0,0,0,739.626,766.731,0,0,0,0,0,0,0,0,0,0,0,0,0,25.1,2084.1,4194.5,
1,1,18,2.83358,0,5.52189,0,0.0564556,2.49495,8.53542,20.6736,0,13.311,3.94427,0,0,19.4423,57.3712,203.506,0,0,0,0,143.059,0,27.1049,0,0,0,753.576,780.681,0,0,0,0,0,0,0,0,0,0,0,0,0,25.12,2084.1,4194.5,
1,1,19,0.00934719,0,4.21005,0,0.0587886,2.08349,4.42551,28.2873,0,25.227,3.94427,0,0,10.7872,68.2458,192.468,0,0,0,0,109.454,0,27.1049,0,0,0,686.858,713.963,0,0,0,0,0,0,0,0,0,0,0,0,0,25.12,2084.1,4194.5,
1,1,20,0,0,2.37343,0,0,2.20857,1.34308,33.0046,0,33.171,3.94427,0,0,5.92508,76.0449,1.84323,0,0,0,0,181.218,0,0,0,0,0,186.747,186.747,0,0,0,0,0,0,0,0,0,0,0,0,0,25.12,2084.1,4194.5,
1,1,21,0,0,2.36051,0,0,1.66445,1.34308,36.9766,0,37.143,3.94427,0,0,5.36803,83.4319,0.845882,0,0,0,0,127.886,0,0,0,0,0,130.424,130.424,0,0,0,0,0,0,0,0,0,0,0,0,0,25.12,2084.1,4194.5,
1,1,22,0,0,2.3677,0,0,1.59103,1.34308,33.0046,0,33.171,3.94427,0,0,5.30181,75.4217,1.40065,0,0,0,0,172.596,0,0,0,0,0,176.798,176.798,0,0,0,0,0,0,0,0,0,0,0,0,0,25.12,2084.1,4194.5,
1,1,23,0,0,2.34954,0,0,1.31089,1.34308,25.0606,0,25.227,3.94427,0,0,5.0035,59.2354,0,0,0,0,0,72.5186,0,0,0,0,0,72.5186,72.5186,0,0,0,0,0,0,0,0,0,0,0,0,0,25.02,2084.1,4194.5,
1,1,24,0,0,2.34954,0,0,0.843747,1.34308,13.1446,0,13.311,3.94427,0,0,4.53637,34.9362,0,0,0,0,0,86.0498,0,0,0,0,0,86.0498,86.0498,0,0,0,0,0,0,0,0,0,0,0,0,0,24.92,2084.1,4194.5,
1,2,1,0,0,2.34954,0,0,0.840109,1.34308,5.20058,0,5.367,3.94427,0,0,4.53273,19.0446,0,0,0,0,0,32.0003,0,0,0,0,0,32.0003,32.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,24.2,2084.1,4194.5,
