case,prototype,baseline,:prototype,:software,:autosizing,:hvac_type,:is_central_dhw,:fan_efficacy,:window_u,:heating_eff
hr-baseline,high-rise,t24-2019,high-rise,cbecc-com,No,SZAC,,,,
mumr-baseline,mixed-use-mid-rise,t24-2019,mixed-use-mid-rise,cbecc-com,No,SZAC,Yes,0.7,,
