,Energy Use - MtrElec,,,,,,,,,,,,,,,,,,,,,,,,,Energy Use - MtrNatGas,,,,,,,,,,,,,,,,,,,,,,,,
Directory,Tot,Clg,Htg,HPHtg,Dhw,DhwBU,DhwMFL,FanC,FanH,FanV,Fan,Aux,Proc,Lit,Rcp,Ext,Refr,Dish,Dry,Wash,Cook,User1,User2,BT,PV,Tot,Clg,Htg,HPHtg,Dhw,DhwBU,DhwMFL,FanC,FanH,FanV,Fan,Aux,Proc,Lit,Rcp,Ext,Refr,Dish,Dry,Wash,Cook,User1,User2,BT,PV
hr-hpwh-prop/cz01,263979,0,0,0,260262,0,3716.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hr-hpwh-prop/cz02,237854,0,0,0,234138,0,3716.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hr-hpwh-prop/cz03,233002,0,0,0,229285,0,3716.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hr-hpwh-prop/cz04,220172,0,0,0,216456,0,3716.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hr-hpwh-prop/cz05,232418,0,0,0,228702,0,3716.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hr-hpwh-prop/cz06,208885,0,0,0,205169,0,3716.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hr-hpwh-prop/cz07,207896,0,0,0,204179,0,3716.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hr-hpwh-prop/cz08,203598,0,0,0,199881,0,3716.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hr-hpwh-prop/cz09,206773,0,0,0,203057,0,3716.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hr-hpwh-prop/cz10,207808,0,0,0,204092,0,3716.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hr-hpwh-prop/cz11,218423,0,0,0,214706,0,3716.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hr-hpwh-prop/cz12,224037,0,0,0,220321,0,3716.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hr-hpwh-prop/cz13,211064,0,0,0,207347,0,3716.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hr-hpwh-prop/cz14,220464,0,0,0,216748,0,3716.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hr-hpwh-prop/cz15,175436,0,0,0,171719,0,3716.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00922445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hr-hpwh-prop/cz16,273408,0,0,0,269692,0,3716.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
