case,prototype,baseline,:prototype,:software
lrgs-proposed,Low-rise-garden-style-elec,t24-2019,Low-rise-garden-style-elec,cbecc-res
lrlc-hpwh,low-rise-loaded-corridor-hpwh,t24-2019,low-rise-loaded-corridor-hpwh,cbecc-res
