climate,:climate_zone,:weather_station,:window_u,:window_shgc,:wall_cavity,:wall_exterior_sheathing,:ceiling_cavity,:ceiling_sheathing,:frame_path_cavity
cz03,CZ3  (Oakland),CTZ03S22A,0.36,0.25,R 21,1.75,R 23,R6 Sheathing,2x8 @ 16 in. O.C.
cz09,CZ9  (Burbank),CTZ09S22A,0.36,0.25,R 21,1.75,R 36,R2 Sheathing,2x12 @ 16 in. O.C.
cz12,CZ12  (Sacramento),CTZ12S22A,0.36,0.25,R 21,1.75,R 36,R2 Sheathing,2x12 @ 16 in. O.C.
cz13,CZ13  (Fresno),CTZ13S22A,0.36,0.25,R 21,1.75,R 36,R2 Sheathing,2x12 @ 16 in. O.C.
