18,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Software:,,"CBECC-Com 2019.1.0 (1079)"
,CompMgr:,,"BEMCmpMgr 2019.1.0 (5962)"
,OpenStudio:,,"1.11.3.f52686d8e1"
,EnergyPlus:,,"9.0.1-bb7ca4f0da"
,CSE:,,""
,Ruleset:,,"CA 2019 Nonresidential, Vers. 1.0 Alpha (T24N_2019.bin)"
Run Title:,,,"Mid-Rise Mixed-Use (5-story)"
Run Date/Time:,,,"2019-12-13 13:27:16"
Cond. Area:,,,113100
Model:,,,"Standard"
Model File:,,,"C:\Users\mnakajima\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hvac\runs\mumr-baseline\cz10\instance.cibd19"

,,,Site Electric Use,,,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,TDV Multipliers,
,,,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,PV,Battery,Comp Tot,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Comp Tot,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Comp Tot,TOTAL,Electric,NatGas,OtherFuel
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kTDV/kWh),(kTDV/MBtu),(kTDV/MBtu)
1,1,16,0.000574219,1.33588,4.64592,0,0.00978981,1.88169,11.1431,24.9759,0,13.311,0.984739,0,0,19.0169,58.2886,10.9435,0,0,0,0,2.26137,0,0,0,0,0,35.0918,35.0918,0,0,0,0,0,0,0,0,0,0,0,0,0,24.66,2108.8,4194.5,
1,1,17,0.000538357,1.10407,4.64592,0,0.00981232,1.8376,11.5681,24.9759,0,13.311,0.984739,0,0,19.1661,58.4377,10.26,0,0,0,0,2.20034,0,27.1049,0,0,0,32.9803,60.0852,0,0,0,0,0,0,0,0,0,0,0,0,0,25.22,2108.8,4194.5,
1,1,18,0.00181748,0.283986,4.64592,0,0.00900532,1.96334,8.53542,20.6736,0,13.311,0.984739,0,0,15.4395,50.4088,34.6375,0,0,0,0,2.06455,0,27.1049,0,0,0,105.977,133.082,0,0,0,0,0,0,0,0,0,0,0,0,0,25.38,2108.8,4194.5,
1,1,19,0.00473165,0,4.10164,0,0.00797941,1.28748,4.42551,28.2873,0,25.227,0.984739,0,0,9.82735,64.3264,90.1756,0,0,0,0,1.61987,0,27.1049,0,0,0,272.147,299.252,0,0,0,0,0,0,0,0,0,0,0,0,0,25.56,2108.8,4194.5,
1,1,20,0,0,2.3578,0,0,1.31119,1.34308,33.0046,0,33.171,0.984739,0,0,5.01207,72.1724,0,0,0,0,0,1.89731,0,0,0,0,0,1.89731,1.89731,0,0,0,0,0,0,0,0,0,0,0,0,0,25.59,2108.8,4194.5,
1,1,21,0,0,2.3578,0,0,1.24222,1.34308,36.9766,0,37.143,0.984739,0,0,4.94309,80.0474,0,0,0,0,0,1.58193,0,0,0,0,0,1.58193,1.58193,0,0,0,0,0,0,0,0,0,0,0,0,0,25.53,2108.8,4194.5,
1,1,22,0,0,2.3578,0,0,0.713922,1.34308,33.0046,0,33.171,0.984739,0,0,4.4148,71.5751,0,0,0,0,0,1.55351,0,0,0,0,0,1.55351,1.55351,0,0,0,0,0,0,0,0,0,0,0,0,0,25.36,2108.8,4194.5,
1,1,23,0,0,2.3578,0,0,0.679746,1.34308,25.0606,0,25.227,0.984739,0,0,4.38062,55.653,0,0,0,0,0,1.04503,0,0,0,0,0,1.04503,1.04503,0,0,0,0,0,0,0,0,0,0,0,0,0,25.01,2108.8,4194.5,
1,1,24,0,0,2.3578,0,0,0.219553,1.34308,13.1446,0,13.311,0.984739,0,0,3.92043,31.3608,0,0,0,0,0,1.18191,0,0,0,0,0,1.18191,1.18191,0,0,0,0,0,0,0,0,0,0,0,0,0,24.79,2108.8,4194.5,
1,2,1,0,0,2.3578,0,0,0.216226,1.34308,5.20058,0,5.367,0.984739,0,0,3.9171,15.4694,0,0,0,0,0,0.974057,0,0,0,0,0,0.974057,0.974057,0,0,0,0,0,0,0,0,0,0,0,0,0,23.99,2108.8,4194.5,
1,2,2,0,0,2.3578,0,0,0.435762,1.34308,5.20058,0,5.367,0.984739,0,0,4.13664,15.689,0,0,0,0,0,0.978259,0,0,0,0,0,0.978259,0.978259,0,0,0,0,0,0,0,0,0,0,0,0,0,23.71,2108.8,4194.5,
1,2,3,0,0,2.3578,0,0,0.217877,1.34308,5.20058,0,5.367,0.984739,0,0,3.91876,15.4711,0,0,0,0,0,0.978357,0,0,0,0,0,0.978357,0.978357,0,0,0,0,0,0,0,0,0,0,0,0,0,23.64,2108.8,4194.5,
