climate,:climate_zone,:weather_station
cz01,ClimateZone1,/weatherfiles/CTZ01S22A
cz02,ClimateZone2,/weatherfiles/CTZ02S22A
cz03,ClimateZone3,/weatherfiles/CTZ03S22A
cz04,ClimateZone4,/weatherfiles/CTZ04S22A
cz05,ClimateZone5,/weatherfiles/CTZ05S22A
cz06,ClimateZone6,/weatherfiles/CTZ06S22A
cz07,ClimateZone7,/weatherfiles/CTZ07S22A
cz08,ClimateZone8,/weatherfiles/CTZ08S22A
cz09,ClimateZone9,/weatherfiles/CTZ09S22A
cz10,ClimateZone10,/weatherfiles/CTZ10S22A
cz11,ClimateZone11,/weatherfiles/CTZ11S22A
cz12,ClimateZone12,/weatherfiles/CTZ12S22A
cz13,ClimateZone13,/weatherfiles/CTZ13S22A
cz14,ClimateZone14,/weatherfiles/CTZ14S22A
cz15,ClimateZone15,/weatherfiles/CTZ15S22A
cz16,ClimateZone16,/weatherfiles/CTZ16S22A
