case,prototype,baseline,:prototype,:proposed_only,:software,:autosizing,:hvac_type,:is_central_dhw
hr-baseline,high-rise,t24-2019,high-rise,Yes,cbecc-com,Yes,SZAC,1
hr-SZHP,high-rise,t24-2019,high-rise,Yes,cbecc-com,Yes,SZHP,1
