FluidSystems
,,,,,Controls,,,,,,Supply Side Components,,,Demand Side Components,,,
Name,Type,Status,Design SupplyT,Design DelT,TempCtrl,FixedT,Supply HiT,At Outdoor,Supply LowT,At OutdoorT,Num Comps,Total Capacity,Flow Rate,Num Comps,Total Capacity,Sensible Capacity,Flow Rate,
,,,(degF),(degF),,(degF),(degF),(degF),(degF),(degF),,(Btu/hr),(gpm),,(Btu/hr),(Btu/hr),( gpm),
"NonResBaseGasSHWSystem","ServiceHotWater","New",135,80,"Fixed",135,-99996,-99996,-99996,-99996,0,0,0,0,0,0,0
"NonResBaseElecSHWSystem","ServiceHotWater","New",135,80,"Fixed",135,-99996,-99996,-99996,-99996,0,0,0,0,0,0,0
"BaseHWSystem","HotWater","New",180,40,"Fixed",180,-99996,-99996,-99996,-99996,2,785906,39.2804,15,0,0,40.0332


Boiler
Name,Fluid System Name,Status,Type,Fuel,Draft Type,Rated Capacity,AFUE,Thermal Efficiency,Forced Draft Power,Minimum Unload Ratio
,,,,,,(Btu/h),,,hp
"Base Blr","BaseHWSystem","New","HotWater","Gas","MechanicalNoncondensing",392953,-99996,0.8,0.314362,0.25
"Base Blr-2","BaseHWSystem","New","HotWater","Gas","MechanicalNoncondensing",392953,-99996,0.8,0.314362,0.25


Pump
Name,Serving Equipment,Status,Count,Operation,Speed Type,Design Flow Rate,Nameplate HP,Power,Power Per Flow,Break Horse Power,Head,Motor Efficiency,Impeller Efficiency,Minimum Flow Rate
,,,,,,(gpm),(hp),(kW),(W/gpm),(bhp),(ft. H20),,,(gpm)
"Base HW Pump","Base Blr","New",1,"OnDemand","VariableSpeed",19.6402,0.75,0.373163,19,0.427917,60.3958,0.855,0.7
"Base HW Pump-2","Base Blr-2","New",1,"OnDemand","VariableSpeed",19.6402,0.75,0.373163,19,0.427917,60.3958,0.855,0.7


Water Heater
,System,,,Water Heater
Name,System Name,System Type,System Count,Status,Type,Fuel,Count,Thermal Efficiency,StandbyLoss Fraction,Storage Capacity,Rated Capacity,Energy Factor
,,,,,,,,,,(gal),(Btu/h),
"NonResBaseGasWaterHeater","NonResBaseGasSHWSystem","ServiceHotWater",1,"New","Conventional","Gas",1,0.8,0.081,5.89175,7324.35,0.666
"NonResBaseElecWaterHeater","NonResBaseElecSHWSystem","ServiceHotWater",1,"New","Conventional","Electricity",1,1,0.014,24.1083,23976.2,0.953


Residential Water Heater
,System,,,,Water Heater
Name,System Name,System Type,System Count,Distribution Type,Status,Type,Fuel,Count,Thermal Efficiency,StandbyLoss Fraction,Storage Capacity,Rated Capacity,Energy Factor,Tank Exterior Insulation Rval,Tank Interior Insulation Rval
,,,,,,,,,,,(gal),(Btu/h),,(?F-ft2-h/Btu),(?F-ft2-h/Btu)
"Res Gas Water Heater","Residential DHW System","Standard",1,"No Control (continuous pumping)","New","Commercial Storage (TE & SBL)","Gas",1,0.8,0.020,100,40000,0.800,0,0
