AirSystems,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Cooling,,,,Heating,,,Fan/Ventilation,,,Controls,,,,,,,,,,
Name,Type,Status,System Count,Floor Area Served,Net Capacity,Design Supply T,Capacity/Area,Supply Flow/Ton,Net Capacity,Design Supply T,Capacity/Area,Supply Flow,Supply Flow/Area,Design OA,OA/Area,Control Zone Name,Temp Control,FixedT,Supply HiT,At Outdoor,Supply LowT,At OutdoorT,ReheatCtrlMthd,Availability Schedule,Night Cycle Control
,,,(#),(ft2),(Btu/hr),(degF),(Btu/ft2),(cfm/ton),(Btu/hr),(degF),(Btu/ft2),(cfm),(cfm/ft2),(cfm),(cfm/ft2),,,(degF),(degF),(degF),(degF),( degF),,,
BaseAirSys5,PVAV,New,1,22620,550216,55,24.3243,414.659,558499,60,24.6905,19012.7,0.840526,5951.55,0.26311,NONE,WarmestReset,,60,,55,,UNDEFINED,RetailHVACAvail,CycleOnCallAnyZone
BaseAirSys5-2,PVAV,New,3,8280,49910.4,55,18.0835,412.448,49766.9,60,18.0315,1715.45,0.621542,402.75,0.145924,NONE,WarmestReset,,60,,55,,UNDEFINED,OfficeHVACAvail,CycleOnCallAnyZone
BaseAirSys5-3,PVAV,New,1,2760,50482.2,55,18.2906,381.914,73385.3,60,26.5889,1606.65,0.582121,402.75,0.145924,NONE,WarmestReset,,60,,55,,UNDEFINED,OfficeHVACAvail,CycleOnCallAnyZone
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ZoneSystems,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cooling,,,,Heating,,,Fan/Ventilation,,,Controls,,,,,,,,,,,
Name,Type,System Count,Floor Area Served,Net Capacity,Design Supply T,Capacity/Area,Supply Flow/Ton,Net Capacity,Design Supply T,Capacity/Area,Supply Flow,Supply Flow/Area,Design OA,OA/Area,Control Zone Name,Temp Control,Availability Schedule,,,,,,,,
,,(#),(ft2),(Btu/hr),(degF),(Btu/ft2),(cfm/ton),(Btu/hr),(degF),(Btu/ft2),(cfm),(cfm/ft2),(cfm),( cfm/ft2),,,,,,,,,,,
BaseZnSys1,SZAC,3,2160,81273.33,58,11.4907,449.49,7560.31,95,10.5004,309.898,0.430414,0,0,Thermal Zone: F2-4 1-Bed Core N,NoSATControl,AllOnHVACAvail,,,,,,,,
BaseZnSys1-2,SZAC,6,4320,8591.34,58,11.9324,449.487,7693.48,95,10.6854,321.808,0.446956,0,0,Thermal Zone: F2-4 1-Bed Core West,NoSATControl,AllOnHVACAvail,,,,,,,,
BaseZnSys1-3,SZAC,6,4320,9671.93,58,13.4332,449.488,7714.89,95,10.7151,362.284,0.503173,0,0,Thermal Zone: F2-4 1-Bed Core East,NoSATControl,AllOnHVACAvail,,,,,,,,
BaseZnSys1-4,SZAC,15,11160,6266.75,58,8.42305,449.488,7567.39,95,10.1712,234.736,0.315505,0,0,Thermal Zone: F2-4 1-Bed North,NoSATControl,AllOnHVACAvail,,,,,,,,
BaseZnSys1-5,SZAC,6,6480,8146.46,58,7.54302,449.488,9837.23,95,9.10855,305.145,0.282542,0,0,Thermal Zone: F2-4 2-Bed Core NE-NW,NoSATControl,AllOnHVACAvail,,,,,,,,
BaseZnSys1-6,SZAC,9,9720,12762.2,58,11.8168,449.489,11487.1,95,10.6362,478.037,0.442627,0,0,Thermal Zone: F2-4 2-Bed East,NoSATControl,AllOnHVACAvail,,,,,,,,
BaseZnSys1-7,SZAC,9,9720,14564.2,58,13.4853,449.488,11485.3,95,10.6345,545.534,0.505124,0,0,Thermal Zone: F2-4 2-Bed West,NoSATControl,AllOnHVACAvail,,,,,,,,
BaseZnSys1-8,SZAC,3,4230,17226,58,12.217,449.488,16526.2,95,11.7207,645.242,0.457618,0,0,Thermal Zone: F2-4 3-Bed NE,NoSATControl,AllOnHVACAvail,,,,,,,,
BaseZnSys1-9,SZAC,3,4230,19611,58,13.9085,449.489,16523,95,11.7185,734.578,0.520977,0,0,Thermal Zone: F2-4 3-Bed NW,NoSATControl,AllOnHVACAvail,,,,,,,,
BaseZnSys1-10,SZAC,3,1620,10907.6,58,20.1992,449.487,8253.74,95,15.2847,408.568,0.756608,0,0,Thermal Zone: F2-4 Studio SE,NoSATControl,AllOnHVACAvail,,,,,,,,
BaseZnSys1-11,SZAC,3,1620,10116.3,58,18.7339,449.486,8251.43,95,15.2804,378.929,0.70172,0,0,Thermal Zone: F2-4 Studio SW,NoSATControl,AllOnHVACAvail,,,,,,,,
BaseZnSys1-12,SZAC,1,720,9694.86,58,13.4651,449.492,10079.2,95,13.9989,363.147,0.504371,0,0,Thermal Zone: F5 1-Bed Core N,NoSATControl,AllOnHVACAvail,,,,,,,,
BaseZnSys1-13,SZAC,2,1440,10032.6,58,13.9342,449.491,10458,95,14.525,375.797,0.52194,0,0,Thermal Zone: F5 1-Bed Core West,NoSATControl,AllOnHVACAvail,,,,,,,,
BaseZnSys1-14,SZAC,2,1440,11753.5,58,16.3243,449.488,10457.4,95,14.5241,440.254,0.611465,0,0,Thermal Zone: F5 1-Bed Core East,NoSATControl,AllOnHVACAvail,,,,,,,,
BaseZnSys1-15,SZAC,5,3720,8617.39,58,11.5825,449.488,10405.9,95,13.9864,322.784,0.43385,0,0,Thermal Zone: F5 1-Bed North,NoSATControl,AllOnHVACAvail,,,,,,,,
BaseZnSys1-16,SZAC,2,2160,10578,58,9.79445,449.491,12773.4,95,11.8273,396.227,0.366877,0,0,Thermal Zone: F5 2-Bed Core NE-NW,NoSATControl,AllOnHVACAvail,,,,,,,,
BaseZnSys1-17,SZAC,3,3240,14228.3,58,13.1744,449.488,15485.1,95,14.3381,532.956,0.493478,0,0,Thermal Zone: F5 2-Bed East,NoSATControl,AllOnHVACAvail,,,,,,,,
BaseZnSys1-18,SZAC,3,3240,16757.1,58,15.5158,449.487,15484.3,95,14.3373,627.674,0.581179,0,0,Thermal Zone: F5 2-Bed West,NoSATControl,AllOnHVACAvail,,,,,,,,
BaseZnSys1-19,SZAC,1,1410,19128.4,58,13.5662,449.487,21723.1,95,15.4065,716.496,0.508153,0,0,Thermal Zone: F5 3-Bed NE,NoSATControl,AllOnHVACAvail,,,,,,,,
BaseZnSys1-20,SZAC,1,1410,22718.6,58,16.1125,449.487,21722.2,95,15.4058,850.977,0.60353,0,0,Thermal Zone: F5 3-Bed NW,NoSATControl,AllOnHVACAvail,,,,,,,,
BaseZnSys1-21,SZAC,1,540,11742.8,58,21.7458,449.488,10308.2,95,19.0892,439.852,0.814541,0,0,Thermal Zone: F5 Studio SE,NoSATControl,AllOnHVACAvail,,,,,,,,
BaseZnSys1-22,SZAC,1,540,11017.9,58,20.4036,449.486,10308.4,95,19.0897,412.7,0.76426,0,0,Thermal Zone: F5 Studio SW,NoSATControl,AllOnHVACAvail,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Terminal Units,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Relationships,,,,,AirFlow,,VAV,,Fan Powered Terminal,,,,,,,,,,,,
Name,Type,Status,Qty,System,System Qty,Zone,Floor Area,HVAC Zones,Primary Max,Primary Min,Heating Max,Reheat Control,Induced Air Zone,Induction Ratio,Fan Power,Parallel Box Control,Flow Fraction,,,,,,,,
,,,(#),,(#),,(ft2),(#),(cfm),(cfm),(cfm),,,,( W/cfm),,,,,,,,,,
BaseVAVBox TrmlUnit,VAVReheatBox,New,1,BaseAirSys5,1,Thermal Zone: F1 Business Center,360,1,426.251,85.2502,213.125,DualMaximum,NONE,-99996,-99996,UNDEFINED,-99996,,,,,,,,
