; Tables for Std model AutoHardSize capacity look-up rules
TABLE TrmlUnit
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd
;,,,,,(cfm),(cfm),( cfm)
,"CoilHtg 20","HeatPump","ZnSys F5 3-Bed NW","Thermal Zone: F5 3-Bed NW",21745.300,20631.143,-99996.00000,-99996.000,-99996.000
,"SupCoilHtg 20","Resistance","ZnSys F5 3-Bed NW","Thermal Zone: F5 3-Bed NW",21090.948,21090.948,-99996.00000,-99996.000,-99996.000
,"CoilHtg 21","HeatPump","ZnSys F5 Studio SE","Thermal Zone: F5 Studio SE",10355.500,9765.501,-99996.00000,-99996.000,-99996.000
,"SupCoilHtg 21","Resistance","ZnSys F5 Studio SE","Thermal Zone: F5 Studio SE",11168.702,11168.702,-99996.00000,-99996.000,-99996.000
,"CoilHtg 22","HeatPump","ZnSys F5 Studio SW","Thermal Zone: F5 Studio SW",10357.000,9804.526,-99996.00000,-99996.000,-99996.000
,"SupCoilHtg 22","Resistance","ZnSys F5 Studio SW","Thermal Zone: F5 Studio SW",10458.371,10458.371,-99996.00000,-99996.000,-99996.000
,"BaseSys5 CoilHtg","HotWater","BaseSys5 F1","UNDEFINED",148259.000,148259.000,7.41013,-99996.000,-99996.000
,"BaseVAVBox CoilHtg","HotWater","BaseSys5 F1","Thermal Zone: F1 Business Center",9698.880,9698.880,0.48476,-99996.000,-99996.000
,"BaseVAVBox CoilHtg-2","HotWater","BaseSys5 F1","Thermal Zone: F1 Corridor",52391.000,52391.000,2.61855,-99996.000,-99996.000
,"BaseVAVBox CoilHtg-3","HotWater","BaseSys5 F1","Thermal Zone: F1 Lounge",22098.500,22098.500,1.10451,-99996.000,-99996.000
,"BaseVAVBox CoilHtg-4","HotWater","BaseSys5 F1","Thermal Zone: F1 Fitness Center",18215.400,18215.400,0.91042,-99996.000,-99996.000
,"BaseVAVBox CoilHtg-5","HotWater","BaseSys5 F1","Thermal Zone: F1 Leasing Office",8577.050,8577.050,0.42869,-99996.000,-99996.000
,"BaseVAVBox CoilHtg-6","HotWater","BaseSys5 F1","Thermal Zone: F1 Mechanical Room",9091.350,9091.350,0.45439,-99996.000,-99996.000
