case,prototype,baseline,:prototype,:software,:autosizing,:hvac_type,:is_central_dhw,:fan_efficacy,:supply_temp_control,:proposed_only
lrlc-QII-0,low-rise-loaded-corridor-qii,t24-2019-qii-0,low-rise-loaded-corridor-qii,cbecc-res,No,SZAC,1,,,Yes
lrlc-QII-15,low-rise-loaded-corridor-qii,t24-2019-qii-15,low-rise-loaded-corridor-qii,cbecc-res,No,SZAC,1,,,
lrlc-QII-30,low-rise-loaded-corridor-qii,t24-2019-qii-30,low-rise-loaded-corridor-qii,cbecc-res,No,SZAC,1,,,
