,,,,,,,Occupancy,,,Ventilation,,Design Input (By Component),,,,,Minimum Req. (By Component),,,,Simulated,,Exhaust,,,ForBalance
Name,Story Name,Condg Type,Space Function,Thermal Zone,Floor Area,Multiplier,Design,Minimum,Number,Spec. Method,Control,Per Occupant,Per Area,Per Volume,Per Space,Calculated Flow,Per Occupant,Per Area,Per Volume,Calculated Flow,,,Calculated Flow,Lab Exh Type,Max Kitchen,Ventilation,Exhaust
,,,,,(ft2),,(ppl/1000ft2),(ppl/1000ft2),(people),,,(cfm/person),(cfm/ft2),(ACH),(cfm),(cfm),(cfm/person),(cfm/ft2),(ACH),(cfm),(cfm/person),(cfm/ft2),(cfm),,(cfm),(cfm),(cfm)
"F5 Elevator Core","Building Story Residential Floor 5","IndirectlyConditioned","Electrical, Mechanical, Telephone Rooms","Thermal Zone: F5 Corridor",25.0,1,3.0,3.0,0.0,"Maximum","Fixed",0,0,0,0,0,0,0,0,0,0,0.145924,0,"UNDEFINED",0,0,0
"F5 Elevator N","Building Story Residential Floor 5","IndirectlyConditioned","Electrical, Mechanical, Telephone Rooms","Thermal Zone: F5 Corridor",25.0,1,3.0,3.0,0.0,"Maximum","Fixed",0,0,0,0,0,0,0,0,0,0,0.145924,0,"UNDEFINED",0,0,0
"F5 Elevator S","Building Story Residential Floor 5","IndirectlyConditioned","Electrical, Mechanical, Telephone Rooms","Thermal Zone: F5 Corridor",25.0,1,3.0,3.0,0.0,"Maximum","Fixed",0,0,0,0,0,0,0,0,0,0,0.145924,0,"UNDEFINED",0,0,0
"F5 Laundry","Building Story Residential Floor 5","IndirectlyConditioned","Laundry Area","Thermal Zone: F5 Corridor",180.0,1,10.0,10.0,0.9,"Maximum","Fixed",0,0.15,0,0,27,0,0.15,0,27,0,0.145924,0,"UNDEFINED",0,27,0
"F5 Stair E","Building Story Residential Floor 5","DirectlyConditioned","Stairwell","Thermal Zone: F5 Corridor",180.0,1,10.0,10.0,0.9,"Maximum","Fixed",0,0.15,0,0,27,0,0.15,0,27,0,0.145924,0,"UNDEFINED",0,27,0
"F5 Stair W","Building Story Residential Floor 5","DirectlyConditioned","Stairwell","Thermal Zone: F5 Corridor",180.0,1,10.0,10.0,0.9,"Maximum","Fixed",0,0.15,0,0,27,0,0.15,0,27,0,0.145924,0,"UNDEFINED",0,27,0
"F5 Studio SE","Building Story Residential Floor 5","DirectlyConditioned","High-Rise Residential Living Spaces","Thermal Zone: F5 Studio SE",540.0,1,3.7,3.7,2.0,"Sum","Fixed",7.5,0.03,0,0,31,7.5,0.03,0,31,0,0,31,"UNDEFINED",0,0,0
"F5 Studio SW","Building Story Residential Floor 5","DirectlyConditioned","High-Rise Residential Living Spaces","Thermal Zone: F5 Studio SW",540.0,1,3.7,3.7,2.0,"Sum","Fixed",7.5,0.03,0,0,31,7.5,0.03,0,31,0,0,31,"UNDEFINED",0,0,0

ThermalZone
,,,,,,,Occupancy,,,,Ventilation,,Design Value (Total),,,,,Minimum Req. (Total),,,,Simulated,,,Exhaust
Name,Story Name,Type,Ventilation Source,Pri. HVAC System,Ventilation System,Floor Area,Multiplier,Design,Minimum,Number,Spec. Method,Control,Per Occupant,Per Area,Per Volume,Calculated Flow,,Per Occupant,Per Area,Per Volume,Calculated Flow,Per Occupant,Per Area,Calculated Flow,Calculated Flow,ExhSysRef,ExhOperMode,ExhCtrlMthd,ExhBalancedSchRef
,,,,,(ft2),,(ppl/1000ft2),(ppl/1000ft2),(people),,,,(cfm/person),(cfm/ft2),(ACH),(cfm),,(cfm/person),(cfm/ft2),(ACH),(cfm),(cfm/person),(cfm/ft2),(cfm),(cfm)
"Thermal Zone: F1 Business Center","Building Story Nonresidential","Conditioned","Forced","BaseSys5 F1","BaseSys5 F1",360.0,1,66.7,66.7,12.0,"Maximum","CO2Sensors",14.9993,0.5,3,180,,14.9993,0.5,3,180,0,0.5,180
"Thermal Zone: F1 Corridor","Building Story Nonresidential","Conditioned","Forced","BaseSys5 F1","BaseSys5 F1",1920.0,1,9.7,9.7,9.3,"Maximum","Fixed",29.6386,0.144141,0.864844,277,,29.6386,0.144141,0.864844,277,0,0.144141,277
"Thermal Zone: F1 Lounge","Building Story Nonresidential","Conditioned","Forced","BaseSys5 F1","BaseSys5 F1",1050.0,1,66.7,66.7,35.0,"Maximum","CO2Sensors",14.9993,0.5,3,525,,14.9993,0.5,3,525,0,0.5,525
"Thermal Zone: F1 Fitness Center","Building Story Nonresidential","Conditioned","Forced","BaseSys5 F1","BaseSys5 F1",900.0,1,20.0,20.0,9.0,"Maximum","Fixed",50,0.5,3,450,,50,0.5,3,450,0,0.5,450
"Thermal Zone: F1 Leasing Office","Building Story Nonresidential","Conditioned","Forced","BaseSys5 F1","BaseSys5 F1",345.0,1,10.0,10.0,1.7,"Maximum","Fixed",30,0.15,0.9,52,,30,0.15,0.9,52,0,0.15,52
"Thermal Zone: F1 Mechanical Room","Building Story Nonresidential","Conditioned","Forced","BaseSys5 F1","BaseSys5 F1",432.0,1,3.0,3.0,0.6,"Maximum","Fixed",100,0.15,0.9,65,,100,0.15,0.9,65,0,0.15,65
"Thermal Zone: F1 Retail N-NW","Building Story Nonresidential","Conditioned","Forced","BaseSys5 F1","BaseSys5 F1",5985.0,1,16.7,16.7,49.9,"Maximum","Fixed",29.994,0.25,1.5,1496,,29.994,0.25,1.5,1496,0,0.25,1496
"Thermal Zone: F1 Retail NE","Building Story Nonresidential","Conditioned","Forced","BaseSys5 F1","BaseSys5 F1",4320.0,1,16.7,16.7,36.0,"Maximum","Fixed",29.994,0.25,1.5,1080,,29.994,0.25,1.5,1080,0,0.25,1080
"Thermal Zone: F1 Retail SE","Building Story Nonresidential","Conditioned","Forced","BaseSys5 F1","BaseSys5 F1",2880.0,1,16.7,16.7,24.0,"Maximum","Fixed",29.994,0.25,1.5,720,,29.994,0.25,1.5,720,0,0.25,720
"Thermal Zone: F1 Retail SW","Building Story Nonresidential","Conditioned","Forced","BaseSys5 F1","BaseSys5 F1",4428.0,1,16.7,16.7,36.9,"Maximum","Fixed",29.994,0.25,1.5,1107,,29.994,0.25,1.5,1107,0,0.25,1107
"Thermal Zone: F2-4 1-Bed Core N","Building Story Residential Floors 2-4","Conditioned","Forced","NONE","Bal F2 1-Bed Core N",720.0,3,2.8,2.8,2.0,"Sum","Fixed",18.3,0.0508333,0.305,37,,18.3,0.0508333,0.305,37,0,0,37,37,"Bal F2 1-Bed Core N","DecoupledFromSystem","ConstantFlowConstantSpeedFan","Off"
"Thermal Zone: F2-4 1-Bed Core West","Building Story Residential Floors 2-4","Conditioned","Forced","NONE","Bal F2 1-Bed Core West",1440.0,3,2.8,2.8,4.0,"Sum","Fixed",18.3,0.0508333,0.305,73,,18.3,0.0508333,0.305,73,0,0,73,73,"Bal F2 1-Bed Core West","DecoupledFromSystem","ConstantFlowConstantSpeedFan","Off"
"Thermal Zone: F2-4 1-Bed Core East","Building Story Residential Floors 2-4","Conditioned","Forced","NONE","Bal F2 1-Bed Core East",1440.0,3,2.8,2.8,4.0,"Sum","Fixed",18.3,0.0508333,0.305,73,,18.3,0.0508333,0.305,73,0,0,73,73,"Bal F2 1-Bed Core East","DecoupledFromSystem","ConstantFlowConstantSpeedFan","Off"
"Thermal Zone: F2-4 1-Bed North","Building Story Residential Floors 2-4","Conditioned","Forced","NONE","Bal F2 1-Bed North",3720.0,3,2.7,2.7,10.0,"Sum","Fixed",18.66,0.0501613,0.300968,187,,18.66,0.0501613,0.300968,187,0,0,187,187,"Bal F2 1-Bed North","DecoupledFromSystem","ConstantFlowConstantSpeedFan","Off"
"Thermal Zone: F2-4 2-Bed Core NE-NW","Building Story Residential Floors 2-4","Conditioned","Forced","NONE","Bal F2 2-Bed Core NE-NW",2160.0,3,2.8,2.8,6.0,"Sum","Fixed",18.3,0.0508333,0.305,110,,18.3,0.0508333,0.305,110,0,0,110,110,"Bal F2 2-Bed Core NE-NW","DecoupledFromSystem","ConstantFlowConstantSpeedFan","Off"
"Thermal Zone: F2-4 2-Bed East","Building Story Residential Floors 2-4","Conditioned","Forced","NONE","Bal F2 2-Bed East",3240.0,3,2.8,2.8,9.0,"Sum","Fixed",18.3,0.0508333,0.305,165,,18.3,0.0508333,0.305,165,0,0,165,165,"Bal F2 2-Bed East","DecoupledFromSystem","ConstantFlowConstantSpeedFan","Off"
"Thermal Zone: F2-4 2-Bed West","Building Story Residential Floors 2-4","Conditioned","Forced","NONE","Bal F2 2-Bed West",3240.0,3,2.8,2.8,9.0,"Sum","Fixed",18.3,0.0508333,0.305,165,,18.3,0.0508333,0.305,165,0,0,165,165,"Bal F2 2-Bed West","DecoupledFromSystem","ConstantFlowConstantSpeedFan","Off"
"Thermal Zone: F2-4 3-Bed NE","Building Story Residential Floors 2-4","Conditioned","Forced","NONE","Bal F2 3-Bed NE",1410.0,3,2.8,2.8,4.0,"Sum","Fixed",18.075,0.0512766,0.30766,72,,18.075,0.0512766,0.30766,72,0,0,72,72,"Bal F2 3-Bed NE","DecoupledFromSystem","ConstantFlowConstantSpeedFan","Off"
"Thermal Zone: F2-4 3-Bed NW","Building Story Residential Floors 2-4","Conditioned","Forced","NONE","Bal F2 3-Bed NW",1410.0,3,2.8,2.8,4.0,"Sum","Fixed",18.075,0.0512766,0.30766,72,,18.075,0.0512766,0.30766,72,0,0,72,72,"Bal F2 3-Bed NW","DecoupledFromSystem","ConstantFlowConstantSpeedFan","Off"
"Thermal Zone: F2-4 Studio SE","Building Story Residential Floors 2-4","Conditioned","Forced","NONE","Bal F2 Studio SE",540.0,3,3.7,3.7,2.0,"Sum","Fixed",15.6,0.0577778,0.346667,31,,15.6,0.0577778,0.346667,31,0,0,31,31,"Bal F2 Studio SE","DecoupledFromSystem","ConstantFlowConstantSpeedFan","Off"
"Thermal Zone: F2-4 Studio SW","Building Story Residential Floors 2-4","Conditioned","Forced","NONE","Bal F2 Studio SW",540.0,3,3.7,3.7,2.0,"Sum","Fixed",15.6,0.0577778,0.346667,31,,15.6,0.0577778,0.346667,31,0,0,31,31,"Bal F2 Studio SW","DecoupledFromSystem","ConstantFlowConstantSpeedFan","Off"
"Thermal Zone: F2-4 Corridor","Building Story Residential Floors 2-4","Conditioned","Forced","DOAS1","DOAS1",2760.0,3,9.8,9.8,13.5,"Maximum","Fixed",29.7507,0.145924,0.875543,403,,29.7507,0.145924,0.875543,403,0,0.145924,403
"Thermal Zone: F5 1-Bed Core N","Building Story Residential Floor 5","Conditioned","Forced","NONE","Bal F5 1-Bed Core N",720.0,1,2.8,2.8,2.0,"Sum","Fixed",18.3,0.0508333,0.305,37,,18.3,0.0508333,0.305,37,0,0,37,37,"Bal F5 1-Bed Core N","DecoupledFromSystem","ConstantFlowConstantSpeedFan","Off"
"Thermal Zone: F5 1-Bed Core West","Building Story Residential Floor 5","Conditioned","Forced","NONE","Bal F5 1-Bed Core West",1440.0,1,2.8,2.8,4.0,"Sum","Fixed",18.3,0.0508333,0.305,73,,18.3,0.0508333,0.305,73,0,0,73,73,"Bal F5 1-Bed Core West","DecoupledFromSystem","ConstantFlowConstantSpeedFan","Off"
"Thermal Zone: F5 1-Bed Core East","Building Story Residential Floor 5","Conditioned","Forced","NONE","Bal F5 1-Bed Core East",1440.0,1,2.8,2.8,4.0,"Sum","Fixed",18.3,0.0508333,0.305,73,,18.3,0.0508333,0.305,73,0,0,73,73,"Bal F5 1-Bed Core East","DecoupledFromSystem","ConstantFlowConstantSpeedFan","Off"
"Thermal Zone: F5 1-Bed North","Building Story Residential Floor 5","Conditioned","Forced","NONE","Bal F5 1-Bed North",3720.0,1,2.7,2.7,10.0,"Sum","Fixed",18.66,0.0501613,0.300968,187,,18.66,0.0501613,0.300968,187,0,0,187,187,"Bal F5 1-Bed North","DecoupledFromSystem","ConstantFlowConstantSpeedFan","Off"
"Thermal Zone: F5 2-Bed Core NE-NW","Building Story Residential Floor 5","Conditioned","Forced","NONE","Bal F5 2-Bed Core NE-NW",2160.0,1,2.8,2.8,6.0,"Sum","Fixed",18.3,0.0508333,0.305,110,,18.3,0.0508333,0.305,110,0,0,110,110,"Bal F5 2-Bed Core NE-NW","DecoupledFromSystem","ConstantFlowConstantSpeedFan","Off"
"Thermal Zone: F5 2-Bed East","Building Story Residential Floor 5","Conditioned","Forced","NONE","Bal F5 2-Bed East",3240.0,1,2.8,2.8,9.0,"Sum","Fixed",18.3,0.0508333,0.305,165,,18.3,0.0508333,0.305,165,0,0,165,165,"Bal F5 2-Bed East","DecoupledFromSystem","ConstantFlowConstantSpeedFan","Off"
"Thermal Zone: F5 2-Bed West","Building Story Residential Floor 5","Conditioned","Forced","NONE","Bal F5 2-Bed West",3240.0,1,2.8,2.8,9.0,"Sum","Fixed",18.3,0.0508333,0.305,165,,18.3,0.0508333,0.305,165,0,0,165,165,"Bal F5 2-Bed West","DecoupledFromSystem","ConstantFlowConstantSpeedFan","Off"
"Thermal Zone: F5 3-Bed NE","Building Story Residential Floor 5","Conditioned","Forced","NONE","Bal F5 3-Bed NE",1410.0,1,2.8,2.8,4.0,"Sum","Fixed",18.075,0.0512766,0.30766,72,,18.075,0.0512766,0.30766,72,0,0,72,72,"Bal F5 3-Bed NE","DecoupledFromSystem","ConstantFlowConstantSpeedFan","Off"
"Thermal Zone: F5 3-Bed NW","Building Story Residential Floor 5","Conditioned","Forced","NONE","Bal F5 3-Bed NW",1410.0,1,2.8,2.8,4.0,"Sum","Fixed",18.075,0.0512766,0.30766,72,,18.075,0.0512766,0.30766,72,0,0,72,72,"Bal F5 3-Bed NW","DecoupledFromSystem","ConstantFlowConstantSpeedFan","Off"
"Thermal Zone: F5 Studio SE","Building Story Residential Floor 5","Conditioned","Forced","NONE","Bal F5 Studio SE",540.0,1,3.7,3.7,2.0,"Sum","Fixed",15.6,0.0577778,0.346667,31,,15.6,0.0577778,0.346667,31,0,0,31,31,"Bal F5 Studio SE","DecoupledFromSystem","ConstantFlowConstantSpeedFan","Off"
"Thermal Zone: F5 Studio SW","Building Story Residential Floor 5","Conditioned","Forced","NONE","Bal F5 Studio SW",540.0,1,3.7,3.7,2.0,"Sum","Fixed",15.6,0.0577778,0.346667,31,,15.6,0.0577778,0.346667,31,0,0,31,31,"Bal F5 Studio SW","DecoupledFromSystem","ConstantFlowConstantSpeedFan","Off"
"Thermal Zone: F5 Corridor","Building Story Residential Floor 5","Conditioned","Forced","DOAS1","DOAS1",2760.0,1,9.8,9.8,13.5,"Maximum","Fixed",29.7507,0.145924,0.875543,403,,29.7507,0.145924,0.875543,403,0,0.145924,403
"Thermal Zone: Parking Garage","Building Story Parking Garage","Unconditioned","Forced","NONE","Parking Garage Vent System",27900.0,1,5.0,5.0,69.8,"Maximum","Fixed",0,0,0,0,,0,0,0,0,0,0,0,20925,"Parking Garage Vent System","DecoupledFromSystem","COControl","On"
