,,,,,,,Occupancy,,,Ventilation,,Design Input (By Component),,,,,Minimum Req. (By Component),,,,Simulated,,Exhaust,,,ForBalance
Name,Story Name,Condg Type,Space Function,Thermal Zone,Floor Area,Multiplier,Design,Minimum,Number,Spec. Method,Control,Per Occupant,Per Area,Per Volume,Per Space,Calculated Flow,Per Occupant,Per Area,Per Volume,Calculated Flow,,,Calculated Flow,Lab Exh Type,Max Kitchen,Ventilation,Exhaust
,,,,,(ft2),,(ppl/1000ft2),(ppl/1000ft2),(people),,,(cfm/person),(cfm/ft2),(ACH),(cfm),(cfm),(cfm/person),(cfm/ft2),(ACH),(cfm),(cfm/person),(cfm/ft2),(cfm),,(cfm),(cfm),(cfm)
"F1 Retail N Core","Building Story Nonresidential","DirectlyConditioned","Retail Sales Area (Retail Merchandise Sales)","Thermal Zone: F1 Retail N-NW",1665.0,1,16.7,16.7,13.9,"Maximum","Fixed",0,0.25,0,0,416,0,0.25,0,416,0,0.25,0,"UNDEFINED",0,416,0
"F1 Retail NE Core","Building Story Nonresidential","DirectlyConditioned","Retail Sales Area (Retail Merchandise Sales)","Thermal Zone: F1 Retail NE",1440.0,1,16.7,16.7,12.0,"Maximum","Fixed",0,0.25,0,0,360,0,0.25,0,360,0,0.25,0,"UNDEFINED",0,360,0
"F1 Retail NE Inner","Building Story Nonresidential","DirectlyConditioned","Retail Sales Area (Retail Merchandise Sales)","Thermal Zone: F1 Retail NE",1440.0,1,16.7,16.7,12.0,"Maximum","Fixed",0,0.25,0,0,360,0,0.25,0,360,0,0.25,0,"UNDEFINED",0,360,0
"F1 Retail NE Outer","Building Story Nonresidential","DirectlyConditioned","Retail Sales Area (Retail Merchandise Sales)","Thermal Zone: F1 Retail NE",1440.0,1,16.7,16.7,12.0,"Maximum","Fixed",0,0.25,0,0,360,0,0.25,0,360,0,0.25,0,"UNDEFINED",0,360,0
"F1 Retail NW Inner Core","Building Story Nonresidential","DirectlyConditioned","Retail Sales Area (Retail Merchandise Sales)","Thermal Zone: F1 Retail N-NW",1440.0,1,16.7,16.7,12.0,"Maximum","Fixed",0,0.25,0,0,360,0,0.25,0,360,0,0.25,0,"UNDEFINED",0,360,0
"F1 Retail NW Outer","Building Story Nonresidential","DirectlyConditioned","Retail Sales Area (Retail Merchandise Sales)","Thermal Zone: F1 Retail N-NW",1440.0,1,16.7,16.7,12.0,"Maximum","Fixed",0,0.25,0,0,360,0,0.25,0,360,0,0.25,0,"UNDEFINED",0,360,0
"F1 Retail NW Outer Core","Building Story Nonresidential","DirectlyConditioned","Retail Sales Area (Retail Merchandise Sales)","Thermal Zone: F1 Retail N-NW",1440.0,1,16.7,16.7,12.0,"Maximum","Fixed",0,0.25,0,0,360,0,0.25,0,360,0,0.25,0,"UNDEFINED",0,360,0
"F1 Retail SE Bottom","Building Story Nonresidential","DirectlyConditioned","Retail Sales Area (Retail Merchandise Sales)","Thermal Zone: F1 Retail SE",1440.0,1,16.7,16.7,12.0,"Maximum","Fixed",0,0.25,0,0,360,0,0.25,0,360,0,0.25,0,"UNDEFINED",0,360,0
"F1 Retail SE Top","Building Story Nonresidential","DirectlyConditioned","Retail Sales Area (Retail Merchandise Sales)","Thermal Zone: F1 Retail SE",1440.0,1,16.7,16.7,12.0,"Maximum","Fixed",0,0.25,0,0,360,0,0.25,0,360,0,0.25,0,"UNDEFINED",0,360,0
"F1 Retail SW Bottom","Building Story Nonresidential","DirectlyConditioned","Retail Sales Area (Retail Merchandise Sales)","Thermal Zone: F1 Retail SW",1440.0,1,16.7,16.7,12.0,"Maximum","Fixed",0,0.25,0,0,360,0,0.25,0,360,0,0.25,0,"UNDEFINED",0,360,0
"F1 Retail SW Core","Building Story Nonresidential","DirectlyConditioned","Retail Sales Area (Retail Merchandise Sales)","Thermal Zone: F1 Retail SW",1440.0,1,16.7,16.7,12.0,"Maximum","Fixed",0,0.25,0,0,360,0,0.25,0,360,0,0.25,0,"UNDEFINED",0,360,0
"F1 Retail SW Top","Building Story Nonresidential","DirectlyConditioned","Retail Sales Area (Retail Merchandise Sales)","Thermal Zone: F1 Retail SW",1548.0,1,16.7,16.7,12.9,"Maximum","Fixed",0,0.25,0,0,387,0,0.25,0,387,0,0.25,0,"UNDEFINED",0,387,0
"F1 Stairs E","Building Story Nonresidential","DirectlyConditioned","Stairwell","Thermal Zone: F1 Corridor",180.0,1,10.0,10.0,0.9,"Maximum","Fixed",0,0.15,0,0,27,0,0.15,0,27,0,0.144141,0,"UNDEFINED",0,27,0
"F1 Stairs W","Building Story Nonresidential","DirectlyConditioned","Stairwell","Thermal Zone: F1 Corridor",180.0,1,10.0,10.0,0.9,"Maximum","Fixed",0,0.15,0,0,27,0,0.15,0,27,0,0.144141,0,"UNDEFINED",0,27,0
"F2-4 1-Bed Core N","Building Story Residential Floors 2-4","DirectlyConditioned","High-Rise Residential Living Spaces","Thermal Zone: F2-4 1-Bed Core N",720.0,3,2.8,2.8,2.0,"Sum","Fixed",7.5,0.03,0,0,37,7.5,0.03,0,37,0,0,37,"UNDEFINED",0,0,0
