case,prototype,baseline,:prototype,:proposed_only,:software,:autosizing,:hvac_type,:is_central_dhw,:supply_temp_control
hr-SZHP,high-rise,t24-2019,high-rise,Yes,cbecc-com,Yes,SZHP,1,FixedDualSetpoint
mumr-SZHP,mixed-use-mid-rise,t24-2019-QII-0,mixed-use-mid-rise,Yes,cbecc-com,Yes,SZHP,1,FixedDualSetpoint
mumr-VRF-pre-autosize,mixed-use-mid-rise,t24-2019-vrf,mixed-use-mid-rise,No,cbecc-com,No,VRF,1,FixedDualSetpoint
mumr-VRF,mixed-use-mid-rise,t24-2019-vrf,mixed-use-mid-rise,No,cbecc-com,Yes,VRF,1,FixedDualSetpoint
hr-VRF-pre-autosize,high-rise,t24-2019-vrf,high-rise,No,cbecc-com,No,VRF,1,FixedDualSetpoint
hr-VRF,high-rise,t24-2019-vrf,high-rise,Yes,cbecc-com,Yes,VRF,1,FixedDualSetpoint
