case,prototype,baseline,:prototype,:software,:autosizing,:hvac_type,:is_central_dhw,:fan_efficacy,:supply_temp_control,:proposed_only,:asr,:te,:window_u,:window_shgc,:window_vt,:window_type,:window_shgc,:window_vt,:window_type,:status,:eer,:seer,:ieer,:afue,:te,:sup_fan_eff,:motor_eff_sup,:clg_stages,:cooling_stage,:shw_wh_fuel,:shw_wh_type,:ef,:capacity,:input_rate,:count,:dhw_thermaleff,:dhw_input,:dhw_fuel_type,:dhw_tank_loc,:central,:vintage_name,:mineff_check,:blr_thermaleff,:pump_eff,:pump_speed
hr-winblend-4024-hp,high-rise-hvacres,t24-2019,high-rise-hvacres,cbecc-com,Yes,SZHP,1,0.7,FixedDualSetpoint,Yes,,,0.4,0.24,0.42,OperableWindow,0.24,0.42,OperableWindow,Existing,7.9,10.5,9.5,0.781,0.8,0.508,0.925,,1,Gas,Conventional,0.533,30,35947,1,0.8,187000,Gas,Unconditioned,1,vintage_1990,1,0.786,0.895,VariableSpeed
mrmu-winblend-4024-hp,mixed-use-mid-rise-hvacres,t24-2019-baseline,mixed-use-mid-rise-hvacres,cbecc-com,Yes,SZHP,1,0.7,FixedDualSetpoint,Yes,,,0.4,0.24,0.42,OperableWindow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
