climate,:climate_zone,:weather_station,:exterior_wall_cons,:exterior_wall_cons_2,:ceiling_below_attic_cons
cz01,CZ1  (Arcata),CTZ01S22A,14.7,0,26.6
cz02,CZ2  (Santa Rosa),CTZ02S22A,14.7,0,26.6
cz03,CZ3  (Oakland),CTZ03S22A,14.7,0,21
cz04,CZ4  (San Jose),CTZ04S22A,14.7,0,26.6
cz05,CZ5  (Santa Maria),CTZ05S22A,14.7,0,21
cz06,CZ6  (Torrance),CTZ06S22A,14.7,0,21
cz07,CZ7  (San Diego),CTZ07S22A,14.7,0,21
cz08,CZ8  (Fullerton),CTZ08S22A,14.7,0,26.6
cz09,CZ9  (Burbank),CTZ09S22A,14.7,0,26.6
cz10,CZ10  (Riverside),CTZ10S22A,14.7,0,26.6
cz11,CZ11  (Red Bluff),CTZ11S22A,14.7,0,26.6
cz12,CZ12  (Sacramento),CTZ12S22A,14.7,0,26.6
cz13,CZ13  (Fresno),CTZ13S22A,14.7,0,26.6
cz14,CZ14  (Palmdale),CTZ14S22A,14.7,0,26.6
cz15,CZ15  (Palm Springs),CTZ15S22A,14.7,0,26.6
cz16,CZ16  (Blue Canyon),CTZ16S22A,14.7,0,26.6
