case,prototype,baseline,:prototype,:software,:window_u,:window_shgc,:window_vt,:window_type,:autosizing,:hvac_type,:is_central_dhw,:fan_efficacy,:supply_temp_control,:proposed_only
mumr-winoU48,mixed-use-mid-rise,t24-2019-mumr-baseline,mixed-use-mid-rise,cbecc-com,0.48,0.22,0.32,OperableWindow,Yes,SZAC,1,0.7,FixedDualSetpoint,Yes
mumr-winoU50,mixed-use-mid-rise,t24-2019-mumr-baseline,mixed-use-mid-rise,cbecc-com,0.5,0.22,0.32,OperableWindow,Yes,SZAC,1,0.7,FixedDualSetpoint,Yes
