General Information
Project Address,City,ZipCode,ClimateZone,Compliance Software,Compliance Manager,RulesetFile Name,Compliance Type
" - specify - "," - specify - ",-99996,"ClimateZone9","CBECC-Com 2022.0.1 RV (1113)","BEMCmpMgr 2022.0.1 RV (6107)","CA 2022 Nonresidential, Vers. 1.0 Alpha (T24N_2022.bin)","NewComplete"

No. of Thermal Zones,No. of Thermal Zones (cond),No. of Air Systems,No. of Zonal Systems,No. of Terminal Units
35,34,3,44,10

No. of Stories
Total,New,Existing,Altered
6,6,0,0

No. of Above Grade Stories
Total,New,Existing,Altered
5,5,0,0

No. of Dwelling Units (Conditioned)
Total,New,Existing,Altered
88,88,0,0

NonRes Floor Area (Conditioned)
Total,New,Existing,Altered
6,6,0,0

Res Floor Area (Conditioned)
Total,New,Existing,Altered
79440,79440,0,0

,Conditioned Floor Area
Total Floor Area,Total,New,Existing,Altered
141000,113100,0,0,0



Building Wall Area
Total ExtWall,N ExtWall,E ExtWall,S ExtWall,W ExtWall,
(ft2),(ft2),(ft2),(ft2),(ft2)
42300.00,9000.00,12150.00,9000.00,12150.00

Building New Wall Area
Total ExtWall,N ExtWall,E ExtWall,S ExtWall,W ExtWall,
(ft2),(ft2),(ft2),(ft2),(ft2)
42300.00,9000.00,12150.00,9000.00,12150.00
Building Existing or Altered Wall Area
Total ExtWall,N ExtWall,E ExtWall,S ExtWall,W ExtWall,
(ft2),(ft2),(ft2),(ft2),(ft2)
0.00,0.00,0.00,0.00,0.00


Building Window Area,
Total Window Area,North Window,E Window,S Window,W Window
(ft2),(ft2),(ft2),(ft2),(ft2)
9310.92,1980.81,2676.50,1977.11,2676.50

Building New Window Area on New Walls,
Total Window Area,North Window,E Window,S Window,W Window
(ft2),(ft2),(ft2),(ft2),(ft2)
9310.92,1980.81,2676.50,1977.11,2676.50
Building New Window Area on Existing or Altered Walls,
Total Window Area,North Window,E Window,S Window,W Window
(ft2),(ft2),(ft2),(ft2),(ft2)
0.00,0.00,0.00,0.00,0.00
Building Existing or Altered Window Area on Existing or Altered Walls,
Total Window Area,North Window,E Window,S Window,W Window
(ft2),(ft2),(ft2),(ft2),(ft2)
0.00,0.00,0.00,0.00,0.00


Window to Wall Ratio
Bldg. WWR,North WWR,East WWR,South WWR,West WWR
(frac.),(frac.),(frac.),(frac.),(frac.)
0.2201,0.2201,0.2203,0.2197,0.2203

New Window to New Wall Ratio
Bldg. WWR,North WWR,East WWR,South WWR,West WWR
(frac.),(frac.),(frac.),(frac.),(frac.)
0.2201,0.2201,0.2203,0.2197,0.2203
New Window to Existing or Altered Wall Ratio
