"",002
<<<<<<< Updated upstream
"Tue 16-Feb-21   6:56:39 pm"
"DHWSolarSys Sizing Export","Year"
"TimeStamp","Wthr","CZ","SCMult","Area","Vol","SSF"
"Tue 16-Feb-21   6:56:39 pm","CA_RED-BLUFF-MUNI-AP_725910S_STYP20.epw",11,3.45309,141.1,211.6,0.230212
"Tue 16-Feb-21   6:56:42 pm","CA_RED-BLUFF-MUNI-AP_725910S_STYP20.epw",11,5.17964,211.6,317.5,0.332984
=======
"Tue 16-Feb-21   7:18:53 pm"
"DHWSolarSys Sizing Export","Year"
"TimeStamp","Wthr","CZ","SCMult","Area","Vol","SSF"
"Tue 16-Feb-21   7:18:53 pm","CA_RED-BLUFF-MUNI-AP_725910S_STYP20.epw",11,3.45309,141.1,211.6,0.230212
"Tue 16-Feb-21   7:18:57 pm","CA_RED-BLUFF-MUNI-AP_725910S_STYP20.epw",11,5.17964,211.6,317.5,0.332984
>>>>>>> Stashed changes
