; Tables for Std model AutoHardSize capacity look-up rules
TABLE TrmlUnit
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd
;,,,,,(cfm),(cfm),( cfm)
,"BaseVAV TrmlUnit","VAVReheatBox","BaseSys5 F1","Thermal Zone: F1 Business Center",426.240,85.248,213.120,"DualMaximum"
,"BaseVAV TrmlUnit-2","VAVReheatBox","BaseSys5 F1","Thermal Zone: F1 Corridor",1373.000,276.750,686.500,"DualMaximum"
,"BaseVAV TrmlUnit-3","VAVReheatBox","BaseSys5 F1","Thermal Zone: F1 Lounge",1115.060,223.012,557.530,"DualMaximum"
,"BaseVAV TrmlUnit-4","VAVReheatBox","BaseSys5 F1","Thermal Zone: F1 Fitness Center",615.938,450.000,450.000,"DualMaximum"
,"BaseVAV TrmlUnit-5","VAVReheatBox","BaseSys5 F1","Thermal Zone: F1 Leasing Office",281.652,56.330,140.826,"DualMaximum"
,"BaseVAV TrmlUnit-6","VAVReheatBox","BaseSys5 F1","Thermal Zone: F1 Mechanical Room",572.269,114.454,286.135,"DualMaximum"
,"BaseVAV TrmlUnit-7","VAVReheatBox","BaseSys5 F1","Thermal Zone: F1 Retail N-NW",4023.060,1496.250,2011.530,"DualMaximum"
,"BaseVAV TrmlUnit-8","VAVReheatBox","BaseSys5 F1","Thermal Zone: F1 Retail NE",3064.450,1080.000,1532.225,"DualMaximum"
,"BaseVAV TrmlUnit-9","VAVReheatBox","BaseSys5 F1","Thermal Zone: F1 Retail SE",2034.430,720.000,1017.215,"DualMaximum"
,"BaseVAV TrmlUnit-10","VAVReheatBox","BaseSys5 F1","Thermal Zone: F1 Retail SW",3026.250,1107.000,1513.125,"DualMaximum"
,"DOAS1 TrmlUnit-1","Uncontrolled","DOAS1","Thermal Zone: F2-4 Corridor",1208.250,-99996.000,-99996.000,""
,"DOAS1 TrmlUnit-3","Uncontrolled","DOAS1","Thermal Zone: F5 Corridor",402.750,-99996.000,-99996.000,""
ENDTABLE
TABLE CoilClg
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages
;,,,,,(Btu/hr),(Btu/hr),( gpm),
,"CoilCooling 1","DirectExpansion","ZnSys F2-4 1-Bed Core N","Thermal Zone: F2-4 1-Bed Core N",10109.166,10547.000,-99996.00000,14.000,11.407,-99996
,"CoilCooling 2","DirectExpansion","ZnSys F2-4 1-Bed Core West","Thermal Zone: F2-4 1-Bed Core West",10109.166,10547.000,-99996.00000,14.000,11.407,-99996
,"CoilCooling 3","DirectExpansion","ZnSys F2-4 1-Bed Core East","Thermal Zone: F2-4 1-Bed Core East",10109.166,10547.000,-99996.00000,14.000,11.407,-99996
,"CoilCooling 4","DirectExpansion","ZnSys F2-4 1-Bed North","Thermal Zone: F2-4 1-Bed North",10446.138,10898.567,-99996.00000,14.000,11.407,-99996
,"CoilCooling 5","DirectExpansion","ZnSys F2-4 2-Bed Core NE-NW","Thermal Zone: F2-4 2-Bed Core NE-NW",15163.749,15820.500,-99996.00000,14.000,11.407,-99996
,"CoilCooling 6","DirectExpansion","ZnSys F2-4 2-Bed East","Thermal Zone: F2-4 2-Bed East",15163.749,15820.500,-99996.00000,14.000,11.407,-99996
,"CoilCooling 7","DirectExpansion","ZnSys F2-4 2-Bed West","Thermal Zone: F2-4 2-Bed West",15163.749,15820.500,-99996.00000,14.000,11.407,-99996
,"CoilCooling 8","DirectExpansion","ZnSys F2-4 3-Bed NE","Thermal Zone: F2-4 3-Bed NE",19797.117,20654.542,-99996.00000,14.000,11.407,-99996
,"CoilCooling 9","DirectExpansion","ZnSys F2-4 3-Bed NW","Thermal Zone: F2-4 3-Bed NW",19797.117,20654.542,-99996.00000,14.000,11.407,-99996
,"CoilCooling 10","DirectExpansion","ZnSys F2-4 Studio SE","Thermal Zone: F2-4 Studio SE",7581.874,7910.250,-99996.00000,14.000,11.407,-99996
,"CoilCooling 11","DirectExpansion","ZnSys F2-4 Studio SW","Thermal Zone: F2-4 Studio SW",7581.874,7910.250,-99996.00000,14.000,11.407,-99996
,"CoilCooling 17","DirectExpansion","ZnSys F5 1-Bed Core N","Thermal Zone: F5 1-Bed Core N",10109.166,10547.000,-99996.00000,14.000,11.407,-99996
,"CoilCooling 18","DirectExpansion","ZnSys F5 1-Bed Core West","Thermal Zone: F5 1-Bed Core West",10109.166,10547.000,-99996.00000,14.000,11.407,-99996
,"CoilCooling 19","DirectExpansion","ZnSys F5 1-Bed Core East","Thermal Zone: F5 1-Bed Core East",10109.166,10547.000,-99996.00000,14.000,11.407,-99996
,"CoilCooling 20","DirectExpansion","ZnSys F5 1-Bed North","Thermal Zone: F5 1-Bed North",10446.138,10898.567,-99996.00000,14.000,11.407,-99996
,"CoilCooling 21","DirectExpansion","ZnSys F5 2-Bed Core NE-NW","Thermal Zone: F5 2-Bed Core NE-NW",15163.749,15820.500,-99996.00000,14.000,11.407,-99996
,"CoilCooling 22","DirectExpansion","ZnSys F5 2-Bed East","Thermal Zone: F5 2-Bed East",15163.749,15820.500,-99996.00000,14.000,11.407,-99996
,"CoilCooling 23","DirectExpansion","ZnSys F5 2-Bed West","Thermal Zone: F5 2-Bed West",15163.749,15820.500,-99996.00000,14.000,11.407,-99996
,"CoilCooling 24","DirectExpansion","ZnSys F5 3-Bed NE","Thermal Zone: F5 3-Bed NE",19797.117,20654.542,-99996.00000,14.000,11.407,-99996
,"CoilCooling 25","DirectExpansion","ZnSys F5 3-Bed NW","Thermal Zone: F5 3-Bed NW",19797.117,20654.542,-99996.00000,14.000,11.407,-99996
,"CoilCooling 26","DirectExpansion","ZnSys F5 Studio SE","Thermal Zone: F5 Studio SE",7581.874,7910.250,-99996.00000,14.000,11.407,-99996
,"CoilCooling 27","DirectExpansion","ZnSys F5 Studio SW","Thermal Zone: F5 Studio SW",7581.874,7910.250,-99996.00000,14.000,11.407,-99996
,"BaseSys5 CoilClg","DirectExpansion","BaseSys5 F1","UNDEFINED",550202.000,574031.582,-99996.00000,-99996.000,9.800,2
,"DOAS1 CoilClg","DirectExpansion","DOAS1","UNDEFINED",48330.000,50423.202,-99996.00000,15.600,12.227,1
ENDTABLE
TABLE CoilHtg
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,
;,,,,,(Btu/hr),(Btu/hr),( gpm),
,"CoilHtg 1","HeatPump","ZnSys F2-4 1-Bed Core N","Thermal Zone: F2-4 1-Bed Core N",10614.624,10176.790,-99996.00000,-99996.000,-99996.000
,"SupCoilHtg 1","Resistance","ZnSys F2-4 1-Bed Core N","Thermal Zone: F2-4 1-Bed Core N",8288.163,8288.163,-99996.00000,-99996.000,-99996.000
,"CoilHtg 2","HeatPump","ZnSys F2-4 1-Bed Core West","Thermal Zone: F2-4 1-Bed Core West",10614.624,10176.790,-99996.00000,-99996.000,-99996.000
,"SupCoilHtg 2","Resistance","ZnSys F2-4 1-Bed Core West","Thermal Zone: F2-4 1-Bed Core West",8288.163,8288.163,-99996.00000,-99996.000,-99996.000
,"CoilHtg 3","HeatPump","ZnSys F2-4 1-Bed Core East","Thermal Zone: F2-4 1-Bed Core East",10614.624,10176.790,-99996.00000,-99996.000,-99996.000
,"SupCoilHtg 3","Resistance","ZnSys F2-4 1-Bed Core East","Thermal Zone: F2-4 1-Bed Core East",8288.163,8288.163,-99996.00000,-99996.000,-99996.000
,"CoilHtg 4","HeatPump","ZnSys F2-4 1-Bed North","Thermal Zone: F2-4 1-Bed North",10968.445,10516.017,-99996.00000,-99996.000,-99996.000
,"SupCoilHtg 4","Resistance","ZnSys F2-4 1-Bed North","Thermal Zone: F2-4 1-Bed North",8564.435,8564.435,-99996.00000,-99996.000,-99996.000
,"CoilHtg 5","HeatPump","ZnSys F2-4 2-Bed Core NE-NW","Thermal Zone: F2-4 2-Bed Core NE-NW",15921.936,15265.185,-99996.00000,-99996.000,-99996.000
,"SupCoilHtg 5","Resistance","ZnSys F2-4 2-Bed Core NE-NW","Thermal Zone: F2-4 2-Bed Core NE-NW",12432.244,12432.244,-99996.00000,-99996.000,-99996.000
,"CoilHtg 6","HeatPump","ZnSys F2-4 2-Bed East","Thermal Zone: F2-4 2-Bed East",15921.936,15265.185,-99996.00000,-99996.000,-99996.000
,"SupCoilHtg 6","Resistance","ZnSys F2-4 2-Bed East","Thermal Zone: F2-4 2-Bed East",12432.244,12432.244,-99996.00000,-99996.000,-99996.000
,"CoilHtg 7","HeatPump","ZnSys F2-4 2-Bed West","Thermal Zone: F2-4 2-Bed West",15921.936,15265.185,-99996.00000,-99996.000,-99996.000
,"SupCoilHtg 7","Resistance","ZnSys F2-4 2-Bed West","Thermal Zone: F2-4 2-Bed West",12432.244,12432.244,-99996.00000,-99996.000,-99996.000
,"CoilHtg 8","HeatPump","ZnSys F2-4 3-Bed NE","Thermal Zone: F2-4 3-Bed NE",20786.973,19929.547,-99996.00000,-99996.000,-99996.000
,"SupCoilHtg 8","Resistance","ZnSys F2-4 3-Bed NE","Thermal Zone: F2-4 3-Bed NE",16230.985,16230.985,-99996.00000,-99996.000,-99996.000
,"CoilHtg 9","HeatPump","ZnSys F2-4 3-Bed NW","Thermal Zone: F2-4 3-Bed NW",20786.973,19929.547,-99996.00000,-99996.000,-99996.000
,"SupCoilHtg 9","Resistance","ZnSys F2-4 3-Bed NW","Thermal Zone: F2-4 3-Bed NW",16230.985,16230.985,-99996.00000,-99996.000,-99996.000
,"CoilHtg 10","HeatPump","ZnSys F2-4 Studio SE","Thermal Zone: F2-4 Studio SE",7960.968,7632.593,-99996.00000,-99996.000,-99996.000
,"SupCoilHtg 10","Resistance","ZnSys F2-4 Studio SE","Thermal Zone: F2-4 Studio SE",6216.122,6216.122,-99996.00000,-99996.000,-99996.000
,"CoilHtg 11","HeatPump","ZnSys F2-4 Studio SW","Thermal Zone: F2-4 Studio SW",7960.968,7632.593,-99996.00000,-99996.000,-99996.000
,"SupCoilHtg 11","Resistance","ZnSys F2-4 Studio SW","Thermal Zone: F2-4 Studio SW",6216.122,6216.122,-99996.00000,-99996.000,-99996.000
,"CoilHtg 17","HeatPump","ZnSys F5 1-Bed Core N","Thermal Zone: F5 1-Bed Core N",10614.624,10176.790,-99996.00000,-99996.000,-99996.000
,"SupCoilHtg 17","Resistance","ZnSys F5 1-Bed Core N","Thermal Zone: F5 1-Bed Core N",8288.163,8288.163,-99996.00000,-99996.000,-99996.000
,"CoilHtg 18","HeatPump","ZnSys F5 1-Bed Core West","Thermal Zone: F5 1-Bed Core West",10614.624,10176.790,-99996.00000,-99996.000,-99996.000
,"SupCoilHtg 18","Resistance","ZnSys F5 1-Bed Core West","Thermal Zone: F5 1-Bed Core West",8288.163,8288.163,-99996.00000,-99996.000,-99996.000
,"CoilHtg 19","HeatPump","ZnSys F5 1-Bed Core East","Thermal Zone: F5 1-Bed Core East",10614.624,10176.790,-99996.00000,-99996.000,-99996.000
,"SupCoilHtg 19","Resistance","ZnSys F5 1-Bed Core East","Thermal Zone: F5 1-Bed Core East",8288.163,8288.163,-99996.00000,-99996.000,-99996.000
,"CoilHtg 20","HeatPump","ZnSys F5 1-Bed North","Thermal Zone: F5 1-Bed North",10968.445,10516.017,-99996.00000,-99996.000,-99996.000
,"SupCoilHtg 20","Resistance","ZnSys F5 1-Bed North","Thermal Zone: F5 1-Bed North",8564.435,8564.435,-99996.00000,-99996.000,-99996.000
,"CoilHtg 21","HeatPump","ZnSys F5 2-Bed Core NE-NW","Thermal Zone: F5 2-Bed Core NE-NW",15921.936,15265.185,-99996.00000,-99996.000,-99996.000
,"SupCoilHtg 21","Resistance","ZnSys F5 2-Bed Core NE-NW","Thermal Zone: F5 2-Bed Core NE-NW",12432.244,12432.244,-99996.00000,-99996.000,-99996.000
,"CoilHtg 22","HeatPump","ZnSys F5 2-Bed East","Thermal Zone: F5 2-Bed East",15921.936,15265.185,-99996.00000,-99996.000,-99996.000
,"SupCoilHtg 22","Resistance","ZnSys F5 2-Bed East","Thermal Zone: F5 2-Bed East",12432.244,12432.244,-99996.00000,-99996.000,-99996.000
,"CoilHtg 23","HeatPump","ZnSys F5 2-Bed West","Thermal Zone: F5 2-Bed West",15921.936,15265.185,-99996.00000,-99996.000,-99996.000
,"SupCoilHtg 23","Resistance","ZnSys F5 2-Bed West","Thermal Zone: F5 2-Bed West",12432.244,12432.244,-99996.00000,-99996.000,-99996.000
,"CoilHtg 24","HeatPump","ZnSys F5 3-Bed NE","Thermal Zone: F5 3-Bed NE",20786.973,19929.547,-99996.00000,-99996.000,-99996.000
,"SupCoilHtg 24","Resistance","ZnSys F5 3-Bed NE","Thermal Zone: F5 3-Bed NE",16230.985,16230.985,-99996.00000,-99996.000,-99996.000
