Index,Zone_Name,Count,ThermalZone_Name,VRF_CU_Name
1,ZnSys F10 1-Bed N,2,Thermal Zone: F10 1-Bed N,VRF F10
2,ZnSys F10 1-Bed SE,2,Thermal Zone: F10 1-Bed SE,VRF F10
3,ZnSys F10 1-Bed SW,2,Thermal Zone: F10 1-Bed SW,VRF F10
4,ZnSys F10 2-Bed N Core,1,Thermal Zone: F10 2-Bed N Core,VRF F10
5,ZnSys F10 2-Bed NE,1,Thermal Zone: F10 2-Bed NE,VRF F10
6,ZnSys F10 2-Bed NW,1,Thermal Zone: F10 2-Bed NW,VRF F10
7,ZnSys F10 2-Bed SE,1,Thermal Zone: F10 2-Bed SE,VRF F10
8,ZnSys F10 2-Bed SW,1,Thermal Zone: F10 2-Bed SW,VRF F10
9,ZnSys F10 Studio N,2,Thermal Zone: F10 Studio N,VRF F10
10,ZnSys F2-9 1-Bed N,16,Thermal Zone: F2-9 1-Bed N,VRF F2-9
11,ZnSys F2-9 1-Bed SE,16,Thermal Zone: F2-9 1-Bed SE,VRF F2-9
12,ZnSys F2-9 1-Bed SW,16,Thermal Zone: F2-9 1-Bed SW,VRF F2-9
13,ZnSys F2-9 2-Bed N Core,8,Thermal Zone: F2-9 2-Bed N Core,VRF F2-9
14,ZnSys F2-9 2-Bed NE,8,Thermal Zone: F2-9 2-Bed NE,VRF F2-9
15,ZnSys F2-9 2-Bed NW,8,Thermal Zone: F2-9 2-Bed NW,VRF F2-9
16,ZnSys F2-9 2-Bed SE,8,Thermal Zone: F2-9 2-Bed SE,VRF F2-9
17,ZnSys F2-9 2-Bed SW,8,Thermal Zone: F2-9 2-Bed SW,VRF F2-9
18,ZnSys F2-9 Studio N,16,Thermal Zone: F2-9 Studio N,VRF F2-9
