Space Interior Loads Fuel Use Report
,,,,Non-Regulated,,,Non-Regulated,,,
,,,,Equipment,,,Process,,,
,,Floor Area,,Power Density,Schedule,Fuel Use,Power Density,Schedule,Fuel Use,
Space Name,Conditioning Type,(ft2),Mult,(Btuh/ft2),(FLH),(therms),(Btuh/ft2),(FLH),(therms),
"Parking Garage","Unconditioned",27900,1,,,,,,,
"F1 Business Center","DirectlyConditioned",360,1,,,,,,,
"F1 Corridor","DirectlyConditioned",1485,1,,,,,,,
"F1 Lounge","DirectlyConditioned",1050,1,,,,,,,
"F1 Elevator Core","IndirectlyConditioned",25,1,,,,,,,
"F1 Elevator N","IndirectlyConditioned",25,1,,,,,,,
"F1 Elevator S","IndirectlyConditioned",25,1,,,,,,,
"F1 Fitness Center","DirectlyConditioned",900,1,,,,,,,
"F1 Leasing Office","DirectlyConditioned",345,1,,,,,,,
"F1 Mechanical Room","DirectlyConditioned",432,1,,,,,,,
"F1 Retail N Core","DirectlyConditioned",1665,1,,,,,,,
"F1 Retail NE Core","DirectlyConditioned",1440,1,,,,,,,
"F1 Retail NE Inner","DirectlyConditioned",1440,1,,,,,,,
"F1 Retail NE Outer","DirectlyConditioned",1440,1,,,,,,,
"F1 Retail NW Inner Core","DirectlyConditioned",1440,1,,,,,,,
"F1 Retail NW Outer","DirectlyConditioned",1440,1,,,,,,,
"F1 Retail NW Outer Core","DirectlyConditioned",1440,1,,,,,,,
"F1 Retail SE Bottom","DirectlyConditioned",1440,1,,,,,,,
"F1 Retail SE Top","DirectlyConditioned",1440,1,,,,,,,
"F1 Retail SW Bottom","DirectlyConditioned",1440,1,,,,,,,
"F1 Retail SW Core","DirectlyConditioned",1440,1,,,,,,,
"F1 Retail SW Top","DirectlyConditioned",1548,1,,,,,,,
"F1 Stairs E","DirectlyConditioned",180,1,,,,,,,
"F1 Stairs W","DirectlyConditioned",180,1,,,,,,,
"F2-4 1-Bed Core N","DirectlyConditioned",720,3,,,,,,,
"F2-4 1-Bed Core NE","DirectlyConditioned",720,3,,,,,,,
"F2-4 1-Bed Core NW","DirectlyConditioned",720,3,,,,,,,
"F2-4 1-Bed Core SE","DirectlyConditioned",720,3,,,,,,,
"F2-4 1-Bed Core SW","DirectlyConditioned",720,3,,,,,,,
"F2-4 1-Bed N","DirectlyConditioned",744,3,,,,,,,
"F2-4 1-Bed NE Core","DirectlyConditioned",744,3,,,,,,,
"F2-4 1-Bed NE Outer","DirectlyConditioned",744,3,,,,,,,
"F2-4 1-Bed NW Core","DirectlyConditioned",744,3,,,,,,,
"F2-4 1-Bed NW Outer","DirectlyConditioned",744,3,,,,,,,
"F2-4 2-Bed Core NE","DirectlyConditioned",1080,3,,,,,,,
"F2-4 2-Bed Core NW","DirectlyConditioned",1080,3,,,,,,,
"F2-4 2-Bed NE","DirectlyConditioned",1080,3,,,,,,,
"F2-4 2-Bed NW","DirectlyConditioned",1080,3,,,,,,,
"F2-4 2-Bed SE","DirectlyConditioned",1080,3,,,,,,,
"F2-4 2-Bed SE Core","DirectlyConditioned",1080,3,,,,,,,
"F2-4 2-Bed SW","DirectlyConditioned",1080,3,,,,,,,
"F2-4 2-Bed SW Core","DirectlyConditioned",1080,3,,,,,,,
"F2-4 3-Bed NE","DirectlyConditioned",1410,3,,,,,,,
"F2-4 3-Bed NW","DirectlyConditioned",1410,3,,,,,,,
"F2-4 Corridor","DirectlyConditioned",2145,3,,,,,,,
"F2-4 Elevator Core","IndirectlyConditioned",25,3,,,,,,,
"F2-4 Elevator N","IndirectlyConditioned",25,3,,,,,,,
"F2-4 Elevator S","IndirectlyConditioned",25,3,,,,,,,
"F2-4 Laundry","IndirectlyConditioned",180,3,,,,,,,
"F2-4 Stair E","DirectlyConditioned",180,3,,,,,,,
"F2-4 Stair W","DirectlyConditioned",180,3,,,,,,,
"F2-4 Studio SE","DirectlyConditioned",540,3,,,,,,,
"F2-4 Studio SW","DirectlyConditioned",540,3,,,,,,,
"F5 1-Bed Core N","DirectlyConditioned",720,1,,,,,,,
"F5 1-Bed Core NE","DirectlyConditioned",720,1,,,,,,,
"F5 1-Bed Core NW","DirectlyConditioned",720,1,,,,,,,
"F5 1-Bed Core SE","DirectlyConditioned",720,1,,,,,,,
"F5 1-Bed Core SW","DirectlyConditioned",720,1,,,,,,,
"F5 1-Bed N","DirectlyConditioned",744,1,,,,,,,
"F5 1-Bed NE Core","DirectlyConditioned",744,1,,,,,,,
"F5 1-Bed NE Outer","DirectlyConditioned",744,1,,,,,,,
"F5 1-Bed NW Core","DirectlyConditioned",744,1,,,,,,,
"F5 1-Bed NW Outer","DirectlyConditioned",744,1,,,,,,,
"F5 2-Bed Core NE","DirectlyConditioned",1080,1,,,,,,,
"F5 2-Bed Core NW","DirectlyConditioned",1080,1,,,,,,,
"F5 2-Bed NE","DirectlyConditioned",1080,1,,,,,,,
"F5 2-Bed NW","DirectlyConditioned",1080,1,,,,,,,
"F5 2-Bed SE","DirectlyConditioned",1080,1,,,,,,,
"F5 2-Bed SE Core","DirectlyConditioned",1080,1,,,,,,,
"F5 2-Bed SW","DirectlyConditioned",1080,1,,,,,,,
"F5 2-Bed SW Core","DirectlyConditioned",1080,1,,,,,,,
"F5 3-Bed NE","DirectlyConditioned",1410,1,,,,,,,
"F5 3-Bed NW","DirectlyConditioned",1410,1,,,,,,,
"F5 Corridor","DirectlyConditioned",2145,1,,,,,,,
"F5 Elevator Core","IndirectlyConditioned",25,1,,,,,,,
"F5 Elevator N","IndirectlyConditioned",25,1,,,,,,,
"F5 Elevator S","IndirectlyConditioned",25,1,,,,,,,
"F5 Laundry","IndirectlyConditioned",180,1,,,,,,,
"F5 Stair E","DirectlyConditioned",180,1,,,,,,,
"F5 Stair W","DirectlyConditioned",180,1,,,,,,,
"F5 Studio SE","DirectlyConditioned",540,1,,,,,,,
"F5 Studio SW","DirectlyConditioned",540,1,,,,,,,
