18,4,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Software:,,"CBECC-Com 2019.1.0 (1079)"
,CompMgr:,,"BEMCmpMgr 2019.1.0 (5962)"
,OpenStudio:,,"1.11.3.f52686d8e1"
,EnergyPlus:,,"9.0.1-bb7ca4f0da"
,CSE:,,"CSE19 0.860.0 EXE"
,Ruleset:,,"CA 2019 Nonresidential, Vers. 1.0 Alpha (T24N_2019.bin)"
Run Title:,,,"Mid-Rise Mixed-Use (5-story)"
Run Date/Time:,,,"2019-12-18 16:37:51"
Cond. Area:,,,113100
Model:,,,"Standard"
Model File:,,,"C:\Users\mnakajima\Documents\GitHub\T24-2022-CASE-Modeling\framework\analysis\hvac_autosizing\runs\mumr-baseline\cz13\instance.cibd19"

,,,Site Electric Use,,,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,TDV Multipliers,
,,,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,PV,Battery,Comp Tot,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Comp Tot,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Comp Tot,TOTAL,Electric,NatGas,OtherFuel
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kTDV/kWh),(kTDV/MBtu),(kTDV/MBtu)
1,1,16,0.00687192,0,6.19968,0,0.0081686,2.53245,11.4785,24.9759,0,13.311,0.984739,0,0,20.2256,59.4973,237.925,0,0,0,0,93.0851,0,0,0,0,0,806.861,806.861,0,0,0,0,0,0,0,0,0,0,0,0,0,25.04,2084.1,4194.5,
1,1,17,0.00860396,0,6.56628,0,0.00949898,2.72164,11.6057,24.9759,0,13.311,0.984739,0,0,20.9117,60.1834,290.301,0,0,0,0,175.682,0,27.1049,0,0,0,1046.59,1073.69,0,0,0,0,0,0,0,0,0,0,0,0,0,25.39,2084.1,4194.5,
1,1,18,0.0107733,0,6.83522,0,0.0121364,2.44991,8.53542,20.6736,0,13.311,0.984739,0,0,17.8435,52.8128,340.218,0,0,0,0,119.66,0,27.1049,0,0,0,1140.31,1167.42,0,0,0,0,0,0,0,0,0,0,0,0,0,25.41,2084.1,4194.5,
1,1,19,0.0113785,0,5.09367,0,0.0133538,2.19254,4.42551,28.2873,0,25.227,0.984739,0,0,11.7365,66.2355,268.085,0,0,0,0,92.4694,0,27.1049,0,0,0,896.725,923.83,0,0,0,0,0,0,0,0,0,0,0,0,0,25.41,2084.1,4194.5,
1,1,20,0,0,2.58287,0,0,1.95727,1.34308,33.0046,0,33.171,0.984739,0,0,5.88322,73.0436,15.8611,0,0,0,0,149.912,0,0,0,0,0,197.495,197.495,0,0,0,0,0,0,0,0,0,0,0,0,0,25.41,2084.1,4194.5,
1,1,21,0,0,2.42964,0,0,1.88055,1.34308,36.9766,0,37.143,0.984739,0,0,5.65326,80.7576,4.87674,0,0,0,0,107.528,0,0,0,0,0,122.158,122.158,0,0,0,0,0,0,0,0,0,0,0,0,0,25.41,2084.1,4194.5,
1,1,22,0,0,2.48214,0,0,1.58309,1.34308,33.0046,0,33.171,0.984739,0,0,5.4083,72.5686,8.56488,0,0,0,0,142.776,0,0,0,0,0,168.471,168.471,0,0,0,0,0,0,0,0,0,0,0,0,0,25.41,2084.1,4194.5,
1,1,23,0,0,2.3578,0,0,1.30533,1.34308,25.0606,0,25.227,0.984739,0,0,5.00621,56.2785,0,0,0,0,0,63.2242,0,0,0,0,0,63.2242,63.2242,0,0,0,0,0,0,0,0,0,0,0,0,0,25.31,2084.1,4194.5,
1,1,24,0,0,2.3578,0,0,0.84198,1.34308,13.1446,0,13.311,0.984739,0,0,4.54286,31.9832,0,0,0,0,0,73.6614,0,0,0,0,0,73.6614,73.6614,0,0,0,0,0,0,0,0,0,0,0,0,0,25.21,2084.1,4194.5,
1,2,1,0,0,2.3578,0,0,0.838384,1.34308,5.20058,0,5.367,0.984739,0,0,4.53926,16.0916,0,0,0,0,0,30.6386,0,0,0,0,0,30.6386,30.6386,0,0,0,0,0,0,0,0,0,0,0,0,0,24.49,2084.1,4194.5,
1,2,2,0,0,2.3578,0,0,1.05864,1.34308,5.20058,0,5.367,0.984739,0,0,4.75952,16.3118,0,0,0,0,0,43.6526,0,0,0,0,0,43.6526,43.6526,0,0,0,0,0,0,0,0,0,0,0,0,0,24.24,2084.1,4194.5,
1,2,3,0,0,2.3578,0,0,0.840172,1.34308,5.20058,0,5.367,0.984739,0,0,4.54105,16.0934,0,0,0,0,0,67.209,0,0,0,0,0,67.209,67.209,0,0,0,0,0,0,0,0,0,0,0,0,0,24.18,2084.1,4194.5,
1,2,4,0,0,2.3578,0,0,0.838374,1.34308,5.20058,0,5.367,0.984739,0,0,4.53925,16.0916,0,0,0,0,0,199.406,0,0,0,0,0,199.406,199.406,0,0,0,0,0,0,0,0,0,0,0,0,0,24.21,2084.1,4194.5,
1,2,5,2.74778e-005,0,3.41532,0,0.00501923,0.838349,1.34308,5.20058,0,5.367,0.984739,0,0,5.60179,17.1541,0.523673,0,0,0,0,224.252,0,0,0,0,0,225.823,225.823,0,0,0,0,0,0,0,0,0,0,0,0,0,24.33,2084.1,4194.5,
