16,4,Row/Col hourly results data begin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hourly Results of CEC Compliance Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ruleset:,,BEMCmpMgr 2022.0.2-Pol-0%RA-NoCH4lk (1715),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CSE19:,,CSE19 0.868.1 EXE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DHW:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run Title:,,,TDSv30 V19R12 V19 R12 UGLASS15 ELEC PVSTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run Date/Time:,,,6/7/2021 18:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cond. Area:,,,7320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model:,,,Proposed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel TDV Set:,,,Natural Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model File:,,,C:\GitHub\CALGreen-analysis\framework\analysis\furnace-analysis\runs\lrgs-furnace-comp_DWHR\cz01\instance.ribd22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,Site Other Fuel Use,,,,,,,,,,,TDV Multipliers,,Elec Demand,CO2 Emissions,
,,,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,PV,Battery,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Spc Heat,Spc Cool,IAQ Vent,Other HVAC,Wtr Heat,WtrHt Pump,Ins Light,Appl & Cook,Plug Lds,Exterior,TOTAL,Electric,Fuel,Multipliers,Electric,Fuel
Mo,Da,Hr,(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(Therms),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(MMBtu),(TDV/Btu),(TDV/Btu),(frac),(ton/MWh),(ton/therm)
1,1,1,2.86694,0,0.221825,0,0.0320012,0,0.157419,0.37913,1.36223,0.0680012,0,0,2.2206,0,0,0,0,0,0,0,0.00143269,0,0,0.00143269,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1,1,2,3.00725,0,0.221825,0,0.0320012,0,0.130041,0.36036,1.25338,0.0680012,0,0,2.06561,0,0,0,0,0,0,0,0.00114615,0,0,0.00114615,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
1,1,3,3.03028,0,0.221825,0,0.0331852,0,0.102664,0.351532,1.18819,0.0665229,0,0,1.96392,0,0,0,0,0.00478466,0,0,0.000859615,0,0,0.00564427,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3
1,1,4,3.10686,0,0.221825,0,0.0320012,0,0.116353,0.341661,1.18481,0.0665229,0,0,1.96318,0,0,0,0,0,0,0,0.000859615,0,0,0.000859615,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4
1,1,5,2.37274,0,0.221825,0,0.0331852,0,0.14373,0.324677,1.12527,0.0680012,0,0,1.91669,0,0,0,0,0.00456345,0,0,0.000859615,0,0,0.00542307,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5
1,1,6,1.73608,0,0.221825,0,0.0817222,0,0.212173,0.321765,1.21935,0.0665229,0,0,2.12335,0,0,0,0,0.316148,0,0,0.00143269,0,0,0.317581,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6
1,1,7,1.3831,0,0.221825,0,0.0840897,0,0.28746,0.518535,1.36938,0.0650445,0,0,2.64347,0,0,0,0,0.145855,0,0,0.00286538,0,0,0.292063,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7
1,1,8,1.34125,0,0.221825,0,0.152752,0,0.280616,1.15258,1.47115,0.0606096,0,0,3.85834,0,0,0,0,0.247491,0,0,0.0649113,0,0,1.07802,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8
1,1,9,1.23151,0,0.221825,0,0.148016,0,0.232706,1.03658,1.38334,0.0532183,-1.60763,0,1.69869,0,0,0,0,0.157035,0,0,0.222457,0,0,0.719851,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9
1,1,10,0.642067,0,0.221825,0,0.133811,0,0.198484,2.2231,1.33015,0.0443485,-3.94065,0,0.335505,0,0,0,0,0.375535,0,0,0.0993683,0,0,0.658546,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10
1,1,11,0.320012,0,0.221825,0,0.130259,0,0.184796,2.15679,1.35269,0.0354789,-2.47237,0,1.66558,0,0,0,0,0.21457,0,0,0.508466,0,0,0.80585,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11
1,1,12,0.761956,0,0.221825,0,0.0722515,0,0.171107,1.78913,1.33126,0.0236526,-0.9726,0,2.73388,0,0,0,0,0.152851,0,0,0.320482,0,0,0.616848,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12
1,1,13,0.969211,0,0.221825,0,0.0686999,0,0.14373,1.15655,1.31917,0.0177394,-5.86893,0,-2.84828,0,0,0,0,0.101106,0,0,0.0214245,0,0,0.259698,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13
1,1,14,0.935596,0,0.221825,0,0.075803,0,0.14373,0.628297,1.35944,0.0162611,-4.5927,0,-2.06692,0,0,0,0,0.0371364,0,0,0.061789,0,0,0.217611,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,14
1,1,15,0.762841,0,0.221825,0,0.0900088,0,0.14373,0.693056,1.42596,0.0162611,-3.83576,0,-1.18512,0,0,0,0,0.112672,0,0,0.0499863,0,0,0.250902,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15
1,1,16,1.07104,0,0.221825,0,0.104215,0,0.177951,0.613487,1.49965,0.0177394,-0.968623,0,1.74777,0,0,0,0,0.128584,0,0,0.0782708,0,0,0.327168,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,16
1,1,17,1.64495,0,0.221825,0,0.0911928,0,0.212173,0.745978,1.68289,0.0280875,0,0,3.08007,0,0,0,0,0.172627,0,0,0.044263,0,0,0.361405,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17,17
1,1,18,1.6555,0,0.221825,0,0.0627808,0,0.301149,0.621456,1.89749,0.056175,0,0,3.25366,0,0,0,0,0.0526689,0,0,0.11682,0,0,0.306419,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18
1,1,19,1.50778,0,0.221825,0,0.0533104,0,0.574921,0.552078,2.03923,0.0709578,0,0,3.59484,0,0,0,0,0.0251467,0,0,0.0369634,0,0,0.183883,0,0,0,0,0,0,0,0,0,0,0,19,19,19,19,19
1,1,20,1.28822,0,0.221825,0,0.0805384,0,0.800783,1.23996,2.11989,0.0886972,0,0,4.61667,0,0,0,0,0.095664,0,0,0.0206308,0,0,0.212178,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20
